year,county,status,raw_precinct_key,count,suggested_candidate_1,suggested_score,suggested_reason,local_candidate_1,local_candidate_2,local_candidate_3,local_candidate_4,local_candidate_5,approval,approved_canonical_precinct_key,source_reference,notes
2016,NORTHAMPTON,unmatched,NORTHAMPTON - GARYSB,12,,0.0000,none,NORTHAMPTON - GAPL,,,,,,,,
2016,NORTHAMPTON,unmatched,NORTHAMPTON - JACKSO,12,,0.0000,none,NORTHAMPTON - JARE,,,,,,,,
2016,NORTHAMPTON,unmatched,NORTHAMPTON - MILWAU,12,,0.0000,none,NORTHAMPTON - COMIPE,,,,,,,,
2016,NORTHAMPTON,unmatched,NORTHAMPTON - PENDLE,12,,0.0000,none,NORTHAMPTON - COMIPE,,,,,,,,
2016,NORTHAMPTON,unmatched,NORTHAMPTON - PLEASA,12,,0.0000,none,NORTHAMPTON - GAPL,,,,,,,,
2016,NORTHAMPTON,unmatched,NORTHAMPTON - POTECA,12,,0.0000,none,NORTHAMPTON - WOPO,,,,,,,,
2016,NORTHAMPTON,unmatched,NORTHAMPTON - REHOBE,12,,0.0000,none,,,,,,,,,
2016,NORTHAMPTON,unmatched,NORTHAMPTON - WOODLA,12,,0.0000,none,NORTHAMPTON - WOPO,,,,,,,,
2016,ORANGE,unmatched,ORANGE - BC,12,,0.0000,none,,,,,,,,,
2016,ORANGE,unmatched,ORANGE - BP,12,,0.0000,none,,,,,,,,,
2016,ORANGE,unmatched,ORANGE - CB,12,,0.0000,none,ORANGE - CB1,,,,,,,,
2016,ORANGE,unmatched,ORANGE - CP,12,,0.0000,none,,,,,,,,,
2016,ORANGE,unmatched,ORANGE - GR,12,,0.0000,none,ORANGE - OG,ORANGE - GB,ORANGE - CG,,,,,,
2016,ORANGE,unmatched,ORANGE - LC,12,,0.0000,none,,,,,,,,,
2016,ORANGE,unmatched,ORANGE - LI,12,,0.0000,none,ORANGE - EA1,,,,,,,,
2016,ORANGE,unmatched,ORANGE - MF,12,,0.0000,none,,,,,,,,,
2016,PAMLICO,unmatched,PAMLICO - 1AL A,12,,0.0000,none,PAMLICO - 1RB,PAMLICO - 1CR,PAMLICO - 5AP,PAMLICO - 4BR,PAMLICO - 3CH,,,,
2016,PAMLICO,unmatched,PAMLICO - 1GB,12,,0.0000,none,PAMLICO - 1RB,PAMLICO - 1CR,PAMLICO - 5AP,PAMLICO - 4BR,PAMLICO - 3CH,,,,
2016,PAMLICO,unmatched,PAMLICO - 2SW,12,,0.0000,none,PAMLICO - 2OT,PAMLICO - 5AP,PAMLICO - 4BR,PAMLICO - 3CH,PAMLICO - 1RB,,,,
2016,PAMLICO,unmatched,PAMLICO - 3BY,12,,0.0000,none,PAMLICO - 3CH,PAMLICO - 5AP,PAMLICO - 4BR,PAMLICO - 2OT,PAMLICO - 1RB,,,,
2016,PAMLICO,unmatched,PAMLICO - 4HB,12,,0.0000,none,PAMLICO - 4BR,PAMLICO - 5AP,PAMLICO - 3CH,PAMLICO - 2OT,PAMLICO - 1RB,,,,
2016,PAMLICO,unmatched,PAMLICO - 4MSIC,12,,0.0000,none,PAMLICO - 4BR,PAMLICO - 5AP,PAMLICO - 3CH,PAMLICO - 2OT,PAMLICO - 1RB,,,,
2016,PAMLICO,unmatched,PAMLICO - 4VM A,12,,0.0000,none,PAMLICO - 4BR,PAMLICO - 5AP,PAMLICO - 3CH,PAMLICO - 2OT,PAMLICO - 1RB,,,,
2016,SURRY,unmatched,SURRY - 02,12,,0.0000,none,SURRY - 34,SURRY - 32,SURRY - 30,SURRY - 29,SURRY - 28,,,,
2016,SURRY,unmatched,SURRY - 03,12,,0.0000,none,SURRY - 34,SURRY - 32,SURRY - 30,SURRY - 29,SURRY - 28,,,,
2016,SURRY,unmatched,SURRY - 06,12,,0.0000,none,SURRY - 34,SURRY - 32,SURRY - 30,SURRY - 29,SURRY - 28,,,,
2016,SURRY,unmatched,SURRY - 07,12,,0.0000,none,SURRY - 34,SURRY - 32,SURRY - 30,SURRY - 29,SURRY - 28,,,,
2016,SURRY,unmatched,SURRY - 08,12,,0.0000,none,SURRY - 34,SURRY - 32,SURRY - 30,SURRY - 29,SURRY - 28,,,,
2016,SURRY,unmatched,SURRY - 13,12,,0.0000,none,SURRY - 34,SURRY - 32,SURRY - 30,SURRY - 29,SURRY - 28,,,,
2016,SURRY,unmatched,SURRY - 14,12,,0.0000,none,SURRY - 34,SURRY - 32,SURRY - 30,SURRY - 29,SURRY - 28,,,,
2016,SURRY,unmatched,SURRY - 20,12,,0.0000,none,SURRY - 34,SURRY - 32,SURRY - 30,SURRY - 29,SURRY - 28,,,,
2016,SURRY,unmatched,SURRY - 21,12,,0.0000,none,SURRY - 34,SURRY - 32,SURRY - 30,SURRY - 29,SURRY - 28,,,,
2016,SURRY,unmatched,SURRY - 33,12,,0.0000,none,SURRY - 34,SURRY - 32,SURRY - 30,SURRY - 29,SURRY - 28,,,,
2016,WAKE,unmatched,WAKE - ABSEN 81-91,12,,0.0000,none,WAKE - 20-17,WAKE - 20-16,WAKE - 20-15,WAKE - 20-14,WAKE - 20-12,,,,
2016,WAKE,unmatched,WAKE - OSAB 81-91,12,,0.0000,none,WAKE - 20-17,WAKE - 20-16,WAKE - 20-15,WAKE - 20-14,WAKE - 20-12,,,,
2016,WAKE,unmatched,WAKE - OSAP 81-91,12,,0.0000,none,WAKE - 20-17,WAKE - 20-16,WAKE - 20-15,WAKE - 20-14,WAKE - 20-12,,,,
2016,WAKE,unmatched,WAKE - OSAV 81-91,12,,0.0000,none,WAKE - 20-17,WAKE - 20-16,WAKE - 20-15,WAKE - 20-14,WAKE - 20-12,,,,
2016,WAKE,unmatched,WAKE - OSCA 81-91,12,,0.0000,none,WAKE - 20-17,WAKE - 20-16,WAKE - 20-15,WAKE - 20-14,WAKE - 20-12,,,,
2016,WAKE,unmatched,WAKE - OSCB 81-91,12,,0.0000,none,WAKE - 20-17,WAKE - 20-16,WAKE - 20-15,WAKE - 20-14,WAKE - 20-12,,,,
2016,WAKE,unmatched,WAKE - OSCH 81-91,12,,0.0000,none,WAKE - 20-17,WAKE - 20-16,WAKE - 20-15,WAKE - 20-14,WAKE - 20-12,,,,
2016,WAKE,unmatched,WAKE - OSFB 81-91,12,,0.0000,none,WAKE - 20-17,WAKE - 20-16,WAKE - 20-15,WAKE - 20-14,WAKE - 20-12,,,,
2016,WAKE,unmatched,WAKE - OSFV 81-91,12,,0.0000,none,WAKE - 20-17,WAKE - 20-16,WAKE - 20-15,WAKE - 20-14,WAKE - 20-12,,,,
2016,WAKE,unmatched,WAKE - OSGR 81-91,12,,0.0000,none,WAKE - 20-17,WAKE - 20-16,WAKE - 20-15,WAKE - 20-14,WAKE - 20-12,,,,
2016,WAKE,unmatched,WAKE - OSHS 81-91,12,,0.0000,none,WAKE - 20-17,WAKE - 20-16,WAKE - 20-15,WAKE - 20-14,WAKE - 20-12,,,,
2016,WAKE,unmatched,WAKE - OSKD 81-91,12,,0.0000,none,WAKE - 20-17,WAKE - 20-16,WAKE - 20-15,WAKE - 20-14,WAKE - 20-12,,,,
2016,WAKE,unmatched,WAKE - OSLL 81-91,12,,0.0000,none,WAKE - 20-17,WAKE - 20-16,WAKE - 20-15,WAKE - 20-14,WAKE - 20-12,,,,
