file,year,scope,contest_type,district,agg_dem,agg_rep,snap_dem,snap_rep,agg_margin_pct,snap_margin_pct,delta_margin_pp,in_agg_only,in_snap_only,snapshot_untrusted
congressional_attorney_general_2008.json,2008,congressional,attorney_general,12,166991,85294,159192,96353,-32.38,-24.59,-7.790000000000003,False,False,False
congressional_attorney_general_2008.json,2008,congressional,attorney_general,13,169089,93190,168983,93900,-28.94,-28.56,-0.38000000000000256,False,False,False
congressional_attorney_general_2008.json,2008,congressional,attorney_general,14,151991,112793,162013,103814,-14.8,-21.89,7.09,False,False,False
congressional_attorney_general_2016.json,2016,congressional,attorney_general,1,200134,152289,200187,152371,-13.58,-13.56,-0.019999999999999574,False,False,False
congressional_attorney_general_2016.json,2016,congressional,attorney_general,2,208818,133740,206248,132234,-21.92,-21.87,-0.05000000000000071,False,False,False
congressional_attorney_general_2016.json,2016,congressional,attorney_general,3,118850,185346,120215,185820,21.86,21.44,0.41999999999999815,False,False,False
congressional_attorney_general_2016.json,2016,congressional,attorney_general,4,235535,111588,235471,111589,-35.71,-35.69,-0.020000000000003126,False,False,False
congressional_attorney_general_2016.json,2016,congressional,attorney_general,5,144895,199940,147147,201877,15.96,15.68,0.28000000000000114,False,False,False
congressional_attorney_general_2016.json,2016,congressional,attorney_general,6,194157,148103,191645,146122,-13.46,-13.48,0.019999999999999574,False,False,False
congressional_attorney_general_2016.json,2016,congressional,attorney_general,7,155697,170502,155554,169879,4.54,4.4,0.13999999999999968,False,False,False
congressional_attorney_general_2016.json,2016,congressional,attorney_general,8,114573,212046,114006,211333,29.84,29.92,-0.08000000000000185,False,False,False
congressional_attorney_general_2016.json,2016,congressional,attorney_general,9,140837,152341,139007,149838,3.92,3.75,0.16999999999999993,False,False,False
congressional_attorney_general_2016.json,2016,congressional,attorney_general,10,111667,212652,113927,209422,31.14,29.53,1.6099999999999994,False,False,False
congressional_attorney_general_2016.json,2016,congressional,attorney_general,11,165850,194918,165847,194915,8.06,8.06,0.0,False,False,False
congressional_attorney_general_2016.json,2016,congressional,attorney_general,12,185884,106066,185785,105916,-27.34,-27.38,0.03999999999999915,False,False,False
congressional_attorney_general_2016.json,2016,congressional,attorney_general,13,159310,156525,163174,161490,-0.88,-0.52,-0.36,False,False,False
congressional_attorney_general_2016.json,2016,congressional,attorney_general,14,167414,142950,165406,146197,-7.88,-6.16,-1.7199999999999998,False,False,False
congressional_attorney_general_2020.json,2020,congressional,attorney_general,1,213797,170746,213797,170745,-11.2,-11.2,0.0,False,False,False
congressional_attorney_general_2020.json,2020,congressional,attorney_general,2,262980,152153,259706,152491,-26.7,-26.01,-0.6899999999999977,False,False,False
congressional_attorney_general_2020.json,2020,congressional,attorney_general,3,136639,221435,136636,221430,23.68,23.68,0.0,False,False,False
