crosswalk_type,county,precincts,districts_all_weights,districts_weight_ge_0_10,districts_weight_ge_0_50,split_precincts,split_precinct_pct
state_senate,CALDWELL,15,2,2,2,1,6.67
state_senate,CAMDEN,3,1,1,1,0,0.0
state_senate,CARTERET,26,1,1,1,0,0.0
state_senate,CASWELL,9,1,1,1,0,0.0
state_senate,CATAWBA,40,1,1,1,0,0.0
state_senate,CHATHAM,18,1,1,1,0,0.0
state_senate,CHEROKEE,16,1,1,1,0,0.0
state_senate,CHOWAN,6,1,1,1,0,0.0
state_senate,CLAY,9,1,1,1,0,0.0
state_senate,CLEVELAND,21,1,1,1,0,0.0
state_senate,COLUMBUS,21,1,1,1,0,0.0
state_senate,CRAVEN,21,1,1,1,0,0.0
state_senate,CUMBERLAND,77,2,2,2,1,1.3
state_senate,CURRITUCK,11,1,1,1,0,0.0
state_senate,DARE,16,1,1,1,0,0.0
state_senate,DAVIDSON,43,1,1,1,0,0.0
state_senate,DAVIE,14,1,1,1,0,0.0
state_senate,DUPLIN,19,1,1,1,0,0.0
state_senate,DURHAM,60,2,2,2,0,0.0
state_senate,EDGECOMBE,21,1,1,1,0,0.0
state_senate,FORSYTH,108,3,2,2,1,0.93
state_senate,FRANKLIN,18,1,1,1,0,0.0
state_senate,GASTON,46,2,2,2,0,0.0
state_senate,GATES,6,1,1,1,0,0.0
state_senate,GRAHAM,4,1,1,1,0,0.0
state_senate,GRANVILLE,15,1,1,1,0,0.0
state_senate,GREENE,10,1,1,1,0,0.0
state_senate,GUILFORD,165,3,3,3,0,0.0
state_senate,HALIFAX,19,1,1,1,0,0.0
state_senate,HARNETT,13,1,1,1,0,0.0
state_senate,HAYWOOD,29,2,2,2,0,0.0
state_senate,HENDERSON,34,1,1,1,0,0.0
state_senate,HERTFORD,13,1,1,1,0,0.0
state_senate,HOKE,15,1,1,1,0,0.0
state_senate,HYDE,7,1,1,1,0,0.0
state_senate,IREDELL,30,1,1,1,0,0.0
state_senate,JACKSON,13,1,1,1,0,0.0
state_senate,JOHNSTON,36,1,1,1,0,0.0
state_senate,JONES,7,1,1,1,0,0.0
state_senate,LEE,10,1,1,1,0,0.0
state_senate,LENOIR,22,1,1,1,0,0.0
state_senate,LINCOLN,23,1,1,1,0,0.0
state_senate,MACON,15,1,1,1,0,0.0
state_senate,MADISON,12,1,1,1,0,0.0
state_senate,MARTIN,9,1,1,1,0,0.0
state_senate,MCDOWELL,17,1,1,1,0,0.0
state_senate,MECKLENBURG,195,6,6,6,1,0.51
state_senate,MITCHELL,9,1,1,1,0,0.0
state_senate,MONTGOMERY,14,1,1,1,0,0.0
