file,year,scope,contest_type,district,agg_dem,agg_rep,snap_dem,snap_rep,agg_margin_pct,snap_margin_pct,delta_margin_pp,in_agg_only,in_snap_only,snapshot_untrusted
state_house_president_2020.json,2020,state_house,president,69,17608,31583,18085,32439,28.01,28.01,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,70,10148,33423,10148,33423,52.82,52.82,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,71,27839,10972,28425,11203,-42.75,-42.75,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,72,30345,9066,32624,9746,-53.12,-53.12,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,73,21412,19530,21412,19530,-4.52,-4.52,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,74,26061,26847,24083,24809,1.46,1.46,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,75,19945,24700,17415,21566,10.49,10.49,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,76,16535,26944,16534,26944,23.62,23.62,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,77,11972,38628,11972,38628,51.99,51.99,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,78,13125,38415,13123,38412,48.54,48.54,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,79,19364,31637,19364,31638,23.8,23.8,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,80,10671,32936,11957,31658,50.35,44.55,5.800000000000004,False,False,False
state_house_president_2020.json,2020,state_house,president,81,11977,31710,10688,32989,44.55,50.35,-5.800000000000004,False,False,False
state_house_president_2020.json,2020,state_house,president,82,20585,22738,20586,22739,4.89,4.89,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,83,13910,40210,13909,40209,47.95,47.95,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,84,14367,29233,14351,29311,33.66,33.82,-0.1600000000000037,False,False,False
state_house_president_2020.json,2020,state_house,president,85,12899,36118,12899,36118,46.82,46.82,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,86,13118,31021,13117,31021,40.14,40.14,0.0,False,False,False
