county,score,bucket,atlas_m,oe_m,d_margin_pp,dmaj,rmaj,rows,unmatched_n,unmatched_votes,unmatched_share,phantom_n,phantom_votes,phantom_share,red_flag,unmatched_keys,phantom_keys
JOHNSTON,0.02296246182858397,e_ok,-24.71807598262838,-24.72037222881124,0.002296246182858397,2,34,36,0,0.0,0.0,0,0.0,0.0,False,,
BRUNSWICK,0.022431583669799693,e_ok,-25.27815163750561,-25.28039479587259,0.0022431583669799693,1,26,27,0,0.0,0.0,0,0.0,0.0,False,,
HAYWOOD,0.020308200394936193,e_ok,-26.935156619138944,-26.93312579909945,-0.0020308200394936193,2,27,29,0,0.0,0.0,0,0.0,0.0,False,,
BEAUFORT,0.020023756580336283,e_ok,-26.100966702470462,-26.09896432681243,-0.0020023756580336283,5,16,21,0,0.0,0.0,0,0.0,0.0,False,,
DURHAM,0.01844292517290569,e_ok,63.35544328092804,63.35359898841075,0.0018442925172905689,51,3,54,0,0.0,0.0,0,0.0,0.0,False,,
ORANGE,0.018124411878090996,e_ok,51.82819830251519,51.830010743703,-0.0018124411878090996,39,1,40,0,0.0,0.0,0,0.0,0.0,False,,
NEW HANOVER,0.016118050923101812,e_ok,2.169698374077936,2.168086568985626,0.0016118050923101812,20,21,41,0,0.0,0.0,0,0.0,0.0,False,,
SAMPSON,0.011227566379936604,e_ok,-22.713178294573645,-22.71205553793565,-0.0011227566379936604,6,17,23,0,0.0,0.0,0,0.0,0.0,False,,
LEE,0.010569402493558755,e_ok,-15.120587207270185,-15.11953026702083,-0.0010569402493558755,2,8,10,0,0.0,0.0,0,0.0,0.0,False,,
ROWAN,0.009986845149256851,e_ok,-36.15787220526701,-36.15887088978194,0.000998684514925685,10,31,41,0,0.0,0.0,0,0.0,0.0,False,,
WAKE,0.006299941717031743,e_ok,26.978853914447136,26.978223920275433,0.0006299941717031743,167,26,193,0,0.0,0.0,0,0.0,0.0,False,,
MECKLENBURG,0.004615849364029145,e_ok,35.6876016034049,35.6880631883413,-0.00046158493640291454,168,27,195,0,0.0,0.0,0,0.0,0.0,False,,
CABARRUS,0.0016633251973985352,e_ok,-9.59730322278742,-9.59713689026768,-0.00016633251973985352,13,26,39,0,0.0,0.0,0,0.0,0.0,False,,
PASQUOTANK,0.0003227492404983545,e_ok,0.3163265306122449,0.3162942556881951,3.227492404983545e-05,4,5,9,0,0.0,0.0,0,0.0,0.0,False,,
BUNCOMBE,1.4210854715202004e-13,e_ok,21.45827958748355,21.458279587483563,-1.4210854715202004e-14,79,1,80,0,0.0,0.0,0,0.0,0.0,False,,
MITCHELL,1.4210854715202004e-13,e_ok,-58.31193479959809,-58.31193479959808,-1.4210854715202004e-14,0,7,7,0,0.0,0.0,0,0.0,0.0,False,,
STANLY,1.4210854715202004e-13,e_ok,-51.59436686813349,-51.594366868133505,1.4210854715202004e-14,1,18,19,0,0.0,0.0,0,0.0,0.0,False,,
ALAMANCE,0.0,e_ok,-8.518985403093742,-8.518985403093742,0.0,19,20,39,0,0.0,0.0,0,0.0,0.0,False,,
ALEXANDER,0.0,e_ok,-58.61827983826686,-58.61827983826686,0.0,0,10,10,0,0.0,0.0,0,0.0,0.0,False,,
ANSON,0.0,e_ok,4.212421242124212,4.212421242124212,0.0,4,5,9,0,0.0,0.0,0,0.0,0.0,False,,
BURKE,0.0,e_ok,-40.557808641276026,-40.557808641276026,0.0,3,27,30,0,0.0,0.0,0,0.0,0.0,False,,
CAMDEN,0.0,e_ok,-47.44400752265344,-47.44400752265344,0.0,0,3,3,0,0.0,0.0,0,0.0,0.0,False,,
CARTERET,0.0,e_ok,-42.579710833076135,-42.579710833076135,0.0,2,24,26,0,0.0,0.0,0,0.0,0.0,False,,
CASWELL,0.0,e_ok,-18.654280692945015,-18.654280692945015,0.0,3,6,9,0,0.0,0.0,0,0.0,0.0,False,,
CATAWBA,0.0,e_ok,-37.55484521798316,-37.55484521798316,0.0,4,36,40,0,0.0,0.0,0,0.0,0.0,False,,
CHATHAM,0.0,e_ok,11.675317366018385,11.675317366018385,0.0,9,9,18,0,0.0,0.0,0,0.0,0.0,False,,
CHEROKEE,0.0,e_ok,-55.79544753562396,-55.79544753562396,0.0,0,16,16,0,0.0,0.0,0,0.0,0.0,False,,
CHOWAN,0.0,e_ok,-15.859030837004406,-15.859030837004406,0.0,1,5,6,0,0.0,0.0,0,0.0,0.0,False,,
CLAY,0.0,e_ok,-50.11011598884158,-50.11011598884158,0.0,0,9,9,0,0.0,0.0,0,0.0,0.0,False,,
CLEVELAND,0.0,e_ok,-33.18621559316691,-33.18621559316691,0.0,2,17,19,0,0.0,0.0,0,0.0,0.0,False,,
COLUMBUS,0.0,e_ok,-28.107161884466095,-28.107161884466095,0.0,0,11,11,0,0.0,0.0,0,0.0,0.0,False,,
CRAVEN,0.0,e_ok,-18.942123418934457,-18.942123418934457,0.0,4,17,21,0,0.0,0.0,0,0.0,0.0,False,,
CUMBERLAND,0.0,e_ok,16.911301651891684,16.911301651891684,0.0,48,24,72,0,0.0,0.0,0,0.0,0.0,False,,
DUPLIN,0.0,e_ok,-22.27836879432624,-22.27836879432624,0.0,3,13,16,0,0.0,0.0,0,0.0,0.0,False,,
FORSYTH,0.0,e_ok,14.118840769925844,14.118840769925844,0.0,71,37,108,0,0.0,0.0,0,0.0,0.0,False,,
FRANKLIN,0.0,e_ok,-13.65415986949429,-13.65415986949429,0.0,6,12,18,0,0.0,0.0,0,0.0,0.0,False,,
GASTON,0.0,e_ok,-28.137062249982456,-28.137062249982456,0.0,4,28,32,0,0.0,0.0,0,0.0,0.0,False,,
GATES,0.0,e_ok,-13.884660916624387,-13.884660916624387,0.0,2,4,6,0,0.0,0.0,0,0.0,0.0,False,,
GRAHAM,0.0,e_ok,-60.78006500541712,-60.78006500541712,0.0,0,4,4,0,0.0,0.0,0,0.0,0.0,False,,
GRANVILLE,0.0,e_ok,-6.670511341791618,-6.670511341791618,0.0,7,8,15,0,0.0,0.0,0,0.0,0.0,False,,
GREENE,0.0,e_ok,-11.968757178957041,-11.968757178957041,0.0,2,8,10,0,0.0,0.0,0,0.0,0.0,False,,
HOKE,0.0,e_ok,11.059886155148892,11.059886155148892,0.0,10,5,15,0,0.0,0.0,0,0.0,0.0,False,,
IREDELL,0.0,e_ok,-32.82721163947749,-32.82721163947749,0.0,3,27,30,0,0.0,0.0,0,0.0,0.0,False,,
JONES,0.0,e_ok,-19.77359868541172,-19.77359868541172,0.0,2,5,7,0,0.0,0.0,0,0.0,0.0,False,,
LENOIR,0.0,e_ok,-3.4935272211385,-3.4935272211385,0.0,10,12,22,0,0.0,0.0,0,0.0,0.0,False,,
MACON,0.0,e_ok,-39.044078078371896,-39.044078078371896,0.0,0,15,15,0,0.0,0.0,0,0.0,0.0,False,,
MADISON,0.0,e_ok,-23.89751552795031,-23.89751552795031,0.0,0,12,12,0,0.0,0.0,0,0.0,0.0,False,,
MCDOWELL,0.0,e_ok,-48.65067136253577,-48.65067136253577,0.0,0,17,17,0,0.0,0.0,0,0.0,0.0,False,,
MONTGOMERY,0.0,e_ok,-32.061548123724286,-32.061548123724286,0.0,3,11,14,0,0.0,0.0,0,0.0,0.0,False,,
NORTHAMPTON,0.0,e_ok,20.68005567707298,20.68005567707298,0.0,6,7,13,0,0.0,0.0,0,0.0,0.0,False,,
ONSLOW,0.0,e_ok,-31.007619697486636,-31.007619697486636,0.0,3,21,24,0,0.0,0.0,0,0.0,0.0,False,,
PAMLICO,0.0,e_ok,-28.246495636075114,-28.246495636075114,0.0,0,6,6,0,0.0,0.0,0,0.0,0.0,False,,
PENDER,0.0,e_ok,-30.383918762433563,-30.383918762433563,0.0,2,6,8,0,0.0,0.0,0,0.0,0.0,False,,
PERQUIMANS,0.0,e_ok,-32.603110209601084,-32.603110209601084,0.0,1,6,7,0,0.0,0.0,0,0.0,0.0,False,,
PERSON,0.0,e_ok,-21.797773569217977,-21.797773569217977,0.0,3,8,11,0,0.0,0.0,0,0.0,0.0,False,,
PITT,0.0,e_ok,9.590184845884455,9.590184845884455,0.0,25,15,40,0,0.0,0.0,0,0.0,0.0,False,,
RANDOLPH,0.0,e_ok,-56.9229920564872,-56.9229920564872,0.0,0,22,22,0,0.0,0.0,0,0.0,0.0,False,,
ROBESON,0.0,e_ok,-18.76308033998206,-18.76308033998206,0.0,7,32,39,0,0.0,0.0,0,0.0,0.0,False,,
ROCKINGHAM,0.0,e_ok,-32.37054109487662,-32.37054109487662,0.0,0,12,12,0,0.0,0.0,0,0.0,0.0,False,,
RUTHERFORD,0.0,e_ok,-46.30576617880445,-46.30576617880445,0.0,0,17,17,0,0.0,0.0,0,0.0,0.0,False,,
SWAIN,0.0,e_ok,-19.896268549200403,-19.896268549200403,0.0,1,4,5,0,0.0,0.0,0,0.0,0.0,False,,
TRANSYLVANIA,0.0,e_ok,-15.896414342629482,-15.896414342629482,0.0,5,10,15,0,0.0,0.0,0,0.0,0.0,False,,
UNION,0.0,e_ok,-24.51997180633118,-24.51997180633118,0.0,8,45,53,0,0.0,0.0,0,0.0,0.0,False,,
VANCE,0.0,e_ok,19.402554989914513,19.402554989914513,0.0,7,0,7,0,0.0,0.0,0,0.0,0.0,False,,
WARREN,0.0,e_ok,26.08353033884949,26.08353033884949,0.0,11,3,14,0,0.0,0.0,0,0.0,0.0,False,,
WILSON,0.0,e_ok,2.9081442915582,2.9081442915582,0.0,14,10,24,0,0.0,0.0,0,0.0,0.0,False,,
YANCEY,0.0,e_ok,-34.16636915387362,-34.16636915387362,0.0,0,11,11,0,0.0,0.0,0,0.0,0.0,False,,
