block_geoid00,county_fips_2000,place_fips_2000,cd106_2000,sldu_2000,sldl_2000,vtd_code_2000,vap_count_2000
370010202002030,001,09060,05,21,25,12E,6
370010202002031,001,09060,05,21,25,12E,46
370010202002032,001,09060,05,21,25,12E,29
370010202002033,001,09060,05,21,25,12E,39
370010202002034,001,09060,05,21,25,12E,26
370010202002035,001,09060,05,21,25,12E,26
370010202002036,001,09060,05,21,25,12E,33
370010202002037,001,09060,05,21,25,12E,30
370010202002038,001,09060,05,21,25,12E,24
370010202002039,001,09060,05,21,25,12E,31
370010202002040,001,09060,05,21,25,12E,52
370010202002041,001,09060,05,21,25,12E,3
370010202002042,001,09060,05,21,25,12E,25
370010202002043,001,09060,05,21,25,12E,0
370010202002044,001,09060,05,21,25,12E,2
370010202002045,001,09060,05,21,25,12E,0
370010202003000,001,09060,05,21,25,12E,36
370010202003001,001,09060,05,21,25,12E,12
370010202003002,001,09060,05,21,25,12E,24
370010202003003,001,09060,05,21,25,12E,16
370010202003004,001,09060,05,21,25,12E,12
370010202003005,001,09060,05,21,25,12E,15
370010202003006,001,09060,05,21,25,12E,30
370010202003007,001,09060,05,21,25,12E,4
370010202003008,001,09060,05,21,25,12E,0
370010202003009,001,09060,05,21,25,12E,0
370010202003010,001,09060,05,21,25,12S,35
370010202003011,001,09060,05,21,25,12S,2
370010202003012,001,09060,05,21,25,12E,6
370010202003013,001,09060,05,21,25,12E,0
370010202003014,001,09060,05,21,25,12E,36
370010202003015,001,09060,05,21,25,12E,35
370010202003016,001,09060,05,21,25,12E,35
370010202003017,001,09060,05,21,25,12E,21
370010202003018,001,09060,05,21,25,12E,12
370010202003019,001,09060,05,21,25,12E,11
370010202003020,001,09060,05,21,25,12E,23
370010202003021,001,09060,05,21,25,12E,50
370010202003022,001,09060,05,21,25,12E,1
370010202003023,001,09060,05,21,25,12S,4
370010202003024,001,09060,05,21,25,12E,1
370010202003025,001,09060,05,21,25,12E,8
370010202003026,001,09060,05,21,25,12E,36
370010202003027,001,09060,05,21,25,12E,13
370010202003028,001,09060,05,21,25,12E,49
370010202003029,001,09060,05,21,25,12E,47
370010202003030,001,09060,05,21,25,12S,26
370010202003031,001,09060,05,21,25,12S,15
370010202003032,001,09060,05,21,25,12S,19
370010202003033,001,09060,05,21,25,12E,25
370010202003034,001,09060,05,21,25,12E,16
370010202004000,001,09060,05,21,25,063,0
370010202004001,001,09060,05,21,25,12E,47
370010202004002,001,09060,05,21,25,12E,13
370010202004003,001,09060,05,21,25,12E,0
370010202004004,001,09060,05,21,25,12E,21
370010202004005,001,09060,05,21,25,12E,29
370010202004006,001,09060,05,21,25,12E,0
370010202004007,001,09060,05,21,25,12E,35
370010202004008,001,09060,05,21,25,12E,47
370010202004009,001,09060,05,21,25,12E,84
370010202004010,001,09060,05,21,25,12E,44
370010202004011,001,09060,05,21,25,12E,0
370010202004012,001,09060,05,21,25,12E,31
370010202004013,001,09060,05,21,25,12E,26
370010202004014,001,09060,05,21,25,12E,10
370010202004015,001,09060,05,21,25,12E,23
370010202004016,001,09060,05,21,25,12E,36
370010202004017,001,09060,05,21,25,12E,24
370010202004018,001,09060,05,21,25,12E,41
370010202004019,001,09060,05,21,25,12E,14
370010202004020,001,09060,05,21,25,12E,43
370010202004021,001,09060,05,21,25,12E,26
370010202004022,001,09060,05,21,25,12E,31
370010202004023,001,09060,05,21,25,12E,16
370010202004024,001,09060,05,21,25,12E,33
370010202004025,001,09060,05,21,25,12E,23
370010202004026,001,09060,05,21,25,12E,19
370010202004027,001,09060,05,21,25,063,6
370010202004028,001,27280,05,21,25,06N,3
370010202004029,001,27280,05,21,25,06N,0
370010202004030,001,27280,05,21,25,06N,3
370010202004031,001,09060,05,21,25,063,0
370010202004032,001,09060,05,21,25,063,0
370010202004033,001,27280,05,21,25,06N,0
370010202004034,001,27280,05,21,25,06N,14
370010202004035,001,27280,05,21,25,06N,2
