year,status,precinct_key,count
2002,unmatched,CLEVELAND - S 5 SHELBY #5,1
2002,unmatched,CLEVELAND - S 6 SHELBY #6,1
2002,unmatched,CLEVELAND - S 7 SHELBY #7,1
2002,unmatched,CLEVELAND - S 8 SHELBY #8,1
2002,unmatched,CLEVELAND - SHANGI SHANGHAI,1
2002,unmatched,COLUMBUS - P01 P01,1
2002,unmatched,COLUMBUS - P02 P02,1
2002,unmatched,COLUMBUS - P03 P03,1
2002,unmatched,COLUMBUS - P04 P04,1
2002,unmatched,COLUMBUS - P05 P05,1
2002,unmatched,COLUMBUS - P08 P08,1
2002,unmatched,COLUMBUS - P09 P09,1
2002,unmatched,COLUMBUS - P10 P10,1
2002,unmatched,COLUMBUS - P12 P12,1
2002,unmatched,COLUMBUS - P13 P13,1
2002,unmatched,COLUMBUS - P16 P16,1
2002,unmatched,COLUMBUS - P18 P18,1
2002,unmatched,COLUMBUS - P20 P20,1
2002,unmatched,COLUMBUS - P21 P21,1
2002,unmatched,COLUMBUS - P22 P22,1
2002,unmatched,COLUMBUS - P25 P25,1
2002,unmatched,COLUMBUS - P26 P26,1
2002,unmatched,CRAVEN - 04 RHEMS,1
2002,unmatched,CRAVEN - 06 CLARKS,1
2002,unmatched,CRAVEN - 08 COVE CITY,1
2002,unmatched,CRAVEN - 09 DOVER,1
2002,unmatched,CRAVEN - 10 FORT BARNWELL,1
2002,unmatched,CRAVEN - 12 TRUITT,1
2002,unmatched,CRAVEN - 13 ERNUL,1
2002,unmatched,CRAVEN - 14 VANCEBORO,1
2002,unmatched,CRAVEN - 15 EPWORTH,1
2002,unmatched,CRAVEN - 22 WEST HAVELOCK,1
2002,unmatched,CRAVEN - N3 GROVER C. FIELDS,1
2002,unmatched,CRAVEN - N5 GLENBURNIE PARK,1
2002,unmatched,CUMBERLAND - AU50 AUMAN,1
2002,unmatched,CUMBERLAND - BD52 BEAVER DAM,1
2002,unmatched,CUMBERLAND - BR54 BLACK RIVER,1
2002,unmatched,CUMBERLAND - BW55 BRENTWOOD,1
2002,unmatched,CUMBERLAND - CC02 CROSS CREEK #02,1
2002,unmatched,CUMBERLAND - CC05 CROSS CREEK #05,1
2002,unmatched,CUMBERLAND - CC09 CROSS CREEK #09,1
2002,unmatched,CUMBERLAND - CC11 CROSS CREEK #11,1
