modern_precinct,sbe2006_precinct,dominant_share_blocks,sbe2006_parts,modern_block_count,block_count
ALAMANCE - 124,ALAMANCE - BURLINGTON 04,100.0,1,61,61
ALAMANCE - 125,ALAMANCE - BURLINGTON 05,100.0,1,61,61
ALAMANCE - 126,ALAMANCE - BURLINGTON 06,100.0,1,38,38
ALAMANCE - 127,ALAMANCE - BURLINGTON 07,100.0,1,144,144
ALAMANCE - 128,ALAMANCE - BURLINGTON 08,100.0,1,84,84
ALAMANCE - 129,ALAMANCE - BURLINGTON 09,97.33,3,75,73
ALAMANCE - 12E,ALAMANCE - BURLINGTON EAST,100.0,1,98,98
ALAMANCE - 12N,ALAMANCE - BURLINGTON NORTH,100.0,1,127,127
ALAMANCE - 12S,ALAMANCE - BURLINGTON SOUTH,100.0,1,68,68
ALAMANCE - 12W,ALAMANCE - BURLINGTON WEST,100.0,1,98,98
ALAMANCE - 13,ALAMANCE - HAW RIVER,98.68,4,228,225
ALEXANDER - B1,ALEXANDER - BETHLEHEM 1,100.0,1,73,73
ALEXANDER - B2,ALEXANDER - BETHLEHEM 2,100.0,1,63,63
ALEXANDER - E,ALEXANDER - ELLENDALE,100.0,1,87,87
ALEXANDER - G1G2,ALEXANDER - GWALTNEY 1,64.6,3,113,73
ALEXANDER - LRSL,ALEXANDER - LITTLE RIVER,55.43,2,92,51
ALEXANDER - M,ALEXANDER - MILLERS,97.67,2,43,42
ALEXANDER - S1S2,ALEXANDER - SHARPES 1,68.55,4,124,85
ALEXANDER - T1T4T5,ALEXANDER - TAYLORSVILLE 1,36.24,7,149,54
ALEXANDER - T2T3,ALEXANDER - TAYLORSVILLE 2,57.34,3,143,82
ALEXANDER - W,ALEXANDER - WITTENBURG,100.0,1,32,32
ALLEGHANY - 01,ALLEGHANY - CHERRY LANE,99.15,2,118,117
ALLEGHANY - 03A,ALLEGHANY - GAP CIVIL,74.9,3,259,194
ALLEGHANY - 04,ALLEGHANY - GLADE CREEK,93.88,3,98,92
ALLEGHANY - 06A,ALLEGHANY - PINEY CREEK,43.67,4,229,100
ANSON - ANS,ANSON - ANSONVILLE,99.3,2,142,141
ANSON - BURN,ANSON - BURNSVILLE,100.0,1,99,99
ANSON - GULL,ANSON - GULLEDGE,100.0,1,73,73
ANSON - LILE,ANSON - LILESVILLE,99.15,3,236,234
ANSON - MM,ANSON - MORVEN/MCFARLAN,96.75,2,123,119
ANSON - PEAC,ANSON - PEACHLAND,100.0,1,128,128
ANSON - POLK,ANSON - POLKTON,97.62,3,84,82
ANSON - WADES,ANSON - WADESBORO 1,41.03,6,351,144
ANSON - WS,ANSON - WHITE STORE,93.24,4,74,69
ASHE - 02,ASHE - CLIFTON,88.89,5,45,40
ASHE - 03,ASHE - CRESTON,88.0,2,25,22
ASHE - 04,ASHE - ELK,90.0,4,40,36
ASHE - 06,ASHE - HELTON,96.77,2,31,30
ASHE - 07,ASHE - HORSE CREEK,58.06,5,31,18
ASHE - 08,ASHE - HURRICANE,100.0,1,20,20
ASHE - 09,ASHE - JEFFERSON,85.62,5,160,137
ASHE - 10,ASHE - LAUREL,66.67,2,12,8
ASHE - 11,ASHE - NEW RIVER,81.95,6,133,109
ASHE - 12,ASHE - NORTH FORK,92.31,2,26,24
ASHE - 13,ASHE - OBIDS,93.24,4,74,69
ASHE - 14,ASHE - OLD FIELDS,85.39,4,89,76
ASHE - 15,ASHE - PEAK CREEK,82.86,4,70,58
ASHE - 16,ASHE - PINE SWAMP,83.04,6,112,93
ASHE - 17,ASHE - PINEY CREEK,54.55,5,44,24
ASHE - 18,ASHE - POND MOUNTAIN,84.21,2,19,16
ASHE - 20,ASHE - WEST JEFFERSON,79.71,6,207,165
AVERY - 01,AVERY - ALTAMONT,95.16,2,62,59
AVERY - 02,AVERY - BANNER ELK,95.56,5,225,215
AVERY - 03,AVERY - BEECH MOUNTAIN,88.1,4,42,37
AVERY - 04,AVERY - CAREYS FLAT,91.49,3,47,43
AVERY - 05,AVERY - CRANBERRY,70.37,4,27,19
AVERY - 06,AVERY - ELK PARK,100.0,1,67,67
AVERY - 07,AVERY - FRANK,100.0,1,9,9
AVERY - 08,AVERY - HEATON,100.0,1,23,23
AVERY - 09,AVERY - HUGHES,100.0,1,17,17
AVERY - 10,AVERY - INGALLS,97.06,2,34,33
AVERY - 11,AVERY - LINVILLE,97.26,3,73,71
AVERY - 12,AVERY - MINNEAPOLIS,100.0,1,12,12
AVERY - 13,AVERY - MONTEZUMA,100.0,1,21,21
AVERY - 14,AVERY - NEWLAND 1,98.08,2,52,51
AVERY - 15,AVERY - NEWLAND 2,98.28,2,58,57
AVERY - 16,AVERY - PINEOLA,98.2,3,111,109
AVERY - 17,AVERY - PLUMTREE,100.0,1,26,26
AVERY - 18,AVERY - PYATTE,100.0,1,22,22
AVERY - 19,AVERY - ROARING CREEK,100.0,1,20,20
BEAUFORT - AUROR,BEAUFORT - AURORA,100.0,1,205,205
BEAUFORT - BEADM,BEAUFORT - BEAVER DAM,100.0,1,57,57
BEAUFORT - BELHV,BEAUFORT - BELHAVEN,95.68,2,139,133
BEAUFORT - BLCK,BEAUFORT - BLOUNTS CREEK,100.0,1,83,83
BEAUFORT - CHOCO,BEAUFORT - CHOCOWINITY,100.0,1,205,205
BEAUFORT - EDWAR,BEAUFORT - EDWARD,100.0,1,137,137
BEAUFORT - GILEA,BEAUFORT - GILEAD,100.0,1,45,45
BEAUFORT - HB,BEAUFORT - HUNTERS BRIDGE,100.0,1,58,58
BEAUFORT - NCRK,BEAUFORT - NORTH CREEK,97.94,2,97,95
BEAUFORT - OLDF,BEAUFORT - OLD FORD,98.44,2,64,63
BEAUFORT - PANTE,BEAUFORT - PANTEGO,98.88,2,89,88
BEAUFORT - PINET,BEAUFORT - PINETOWN,94.92,2,118,112
BEAUFORT - PSJW3,BEAUFORT - P S JONES-WASH W3,100.0,1,73,73
BEAUFORT - RVRD,BEAUFORT - RIVER ROAD,97.67,2,43,42
BEAUFORT - SURBA,BEAUFORT - SURRY-BATH,99.09,2,110,109
BEAUFORT - TCRK,BEAUFORT - TRANTERS CREEK,100.0,1,130,130
BEAUFORT - WASH1,BEAUFORT - WASHINGTON WARD 1,98.98,2,98,97
BEAUFORT - WASH2,BEAUFORT - WASHINGTON WARD 2,99.3,2,142,141
BEAUFORT - WASH4,BEAUFORT - WASHINGTON WARD 4,98.86,2,88,87
BEAUFORT - WASHP,BEAUFORT - WASHINGTON PARK,98.15,2,54,53
BEAUFORT - WDPD,BEAUFORT - WOODARDS POND,97.44,2,39,38
BERTIE - C1,BERTIE - COLERAIN 1,95.56,2,45,43
BERTIE - C2,BERTIE - COLERAIN 2,100.0,1,48,48
BERTIE - IW,BERTIE - INDIAN WOODS,96.15,2,26,25
BERTIE - M1,BERTIE - MITCHELLS 1,87.18,3,39,34
BERTIE - M2,BERTIE - MITCHELLS 2,98.59,2,71,70
BERTIE - MH,BERTIE - MERRY HILL,98.59,2,71,70
BERTIE - RX,BERTIE - ROXOBEL,98.9,2,91,90
BERTIE - SN,BERTIE - SNAKEBITE,97.5,2,40,39
BERTIE - W1,BERTIE - WINDSOR 1,98.16,4,217,213
BERTIE - W2,BERTIE - WINDSOR 2,100.0,1,27,27
BERTIE - WD,BERTIE - WOODVILLE,95.83,4,72,69
BERTIE - WH,BERTIE - WHITES,100.0,1,55,55
BLADEN - P10,BLADEN - ABBOTTS,98.67,2,75,74
BLADEN - P15,BLADEN - BETHEL,100.0,1,136,136
BLADEN - P201,BLADEN - BLADENBORO 1,100.0,1,116,116
BLADEN - P202,BLADEN - BLADENBORO 2,95.05,3,101,96
BLADEN - P25,BLADEN - BROWN MARSH,97.52,4,121,118
BLADEN - P30,BLADEN - CARVERS CREEK,99.17,2,120,119
BLADEN - P35,BLADEN - CENTRAL,93.48,2,46,43
BLADEN - P40,BLADEN - COLLY,95.24,4,147,140
BLADEN - P45,BLADEN - CYPRESS CREEK,100.0,1,57,57
BLADEN - P501,BLADEN - ELIZABETHTOWN 1,98.16,3,163,160
BLADEN - P502,BLADEN - ELIZABETHTOWN 2,99.12,2,113,112
BLADEN - P55,BLADEN - FRENCHES CREEK,100.0,1,89,89
BLADEN - P60,BLADEN - HOLLOW,99.12,2,113,112
BLADEN - P65,BLADEN - LAKE CREEK,97.06,3,68,66
BLADEN - P70,BLADEN - TURNBULL,98.18,2,55,54
BLADEN - P75,BLADEN - WHITES CREEK,75.45,5,110,83
BLADEN - P80,BLADEN - WHITE OAK,100.0,1,90,90
BRUNSWICK - CB01,BRUNSWICK - SUPPLY,99.41,2,170,169
BRUNSWICK - CB02,BRUNSWICK - SHALLOTTE,57.02,4,449,256
BRUNSWICK - CB03,BRUNSWICK - FRYING PAN,95.19,2,104,99
BRUNSWICK - CB04,BRUNSWICK - SECESSION 2,97.0,3,267,259
BRUNSWICK - CB05,BRUNSWICK - SECESSION 1,93.16,3,117,109
BRUNSWICK - CB06,BRUNSWICK - MOSQUITO,97.52,2,242,236
BRUNSWICK - NB01,BRUNSWICK - HOOD CREEK,96.0,3,125,120
BRUNSWICK - NB02,BRUNSWICK - LELAND,96.19,4,210,202
BRUNSWICK - NB03,BRUNSWICK - TOWNCREEK,99.05,3,211,209
BRUNSWICK - NB04,BRUNSWICK - BELVILLE,97.25,3,109,106
BRUNSWICK - NB05,BRUNSWICK - WOODBURN,62.75,4,102,64
BRUNSWICK - NB06,BRUNSWICK - BELVILLE,93.83,2,81,76
BRUNSWICK - NB07,BRUNSWICK - BELVILLE,100.0,1,169,169
BRUNSWICK - SB01,BRUNSWICK - BOLIVIA,80.71,3,140,113
BRUNSWICK - SB02,BRUNSWICK - BOILING SPRING LAKES,98.71,3,309,305
BRUNSWICK - SB03,BRUNSWICK - MOSQUITO,83.2,2,125,104
BRUNSWICK - SB04,BRUNSWICK - SOUTHPORT 1,99.65,2,286,285
BRUNSWICK - SB05,BRUNSWICK - SOUTHPORT 2,96.35,2,137,132
BRUNSWICK - SB06,BRUNSWICK - OAK ISLAND 3,98.71,3,155,153
BRUNSWICK - SB07,BRUNSWICK - OAK ISLAND 2,100.0,1,209,209
BRUNSWICK - SB08,BRUNSWICK - OAK ISLAND 1,61.98,3,121,75
BRUNSWICK - WB01,BRUNSWICK - WACCAMAW,98.62,3,145,143
BRUNSWICK - WB02,BRUNSWICK - LONGWOOD,98.91,2,92,91
BRUNSWICK - WB03,BRUNSWICK - LONGWOOD,98.18,2,55,54
BRUNSWICK - WB04,BRUNSWICK - SHINGLETREE 2,69.11,2,191,132
BRUNSWICK - WB05,BRUNSWICK - SHINGLETREE 1,96.67,2,180,174
BRUNSWICK - WB06,BRUNSWICK - GRISSETTOWN,100.0,1,280,280
BUNCOMBE - 01.1,BUNCOMBE - ASHEVILLE 01,100.0,1,80,80
BUNCOMBE - 02.1,BUNCOMBE - ASHEVILLE 02,100.0,1,98,98
BUNCOMBE - 03.1,BUNCOMBE - ASHEVILLE 03,96.72,2,61,59
BUNCOMBE - 04.1,BUNCOMBE - ASHEVILLE 04,100.0,1,34,34
BUNCOMBE - 05.1,BUNCOMBE - ASHEVILLE 05,91.57,3,83,76
BUNCOMBE - 06.1,BUNCOMBE - ASHEVILLE 06,97.14,2,35,34
BUNCOMBE - 07.1,BUNCOMBE - ASHEVILLE 07,98.25,2,57,56
BUNCOMBE - 08.2,BUNCOMBE - ASHEVILLE 08,77.19,4,57,44
BUNCOMBE - 08.3,BUNCOMBE - ASHEVILLE 08,82.76,2,87,72
BUNCOMBE - 09.1,BUNCOMBE - ASHEVILLE 09,100.0,1,82,82
BUNCOMBE - 10.1,BUNCOMBE - ASHEVILLE 10,96.43,2,56,54
BUNCOMBE - 11.1,BUNCOMBE - ASHEVILLE 11,100.0,1,47,47
BUNCOMBE - 12.1,BUNCOMBE - ASHEVILLE 12,98.31,2,59,58
BUNCOMBE - 13.1,BUNCOMBE - ASHEVILLE 13,98.18,2,55,54
BUNCOMBE - 14.2,BUNCOMBE - ASHEVILLE 14,97.59,3,83,81
BUNCOMBE - 14.3,BUNCOMBE - ASHEVILLE 14,100.0,1,19,19
BUNCOMBE - 15.1,BUNCOMBE - ASHEVILLE 15,100.0,1,38,38
BUNCOMBE - 16.2,BUNCOMBE - ASHEVILLE 16,95.45,3,66,63
BUNCOMBE - 17.1,BUNCOMBE - ASHEVILLE 17,96.23,3,53,51
BUNCOMBE - 18.2,BUNCOMBE - ASHEVILLE 18,55.81,3,86,48
BUNCOMBE - 19.1,BUNCOMBE - ASHEVILLE 19,95.0,2,20,19
BUNCOMBE - 20.1,BUNCOMBE - ASHEVILLE 20,92.31,3,26,24
BUNCOMBE - 21.1,BUNCOMBE - ASHEVILLE 21,90.24,2,41,37
BUNCOMBE - 22.2,BUNCOMBE - ASHEVILLE 27,54.24,3,59,32
BUNCOMBE - 23.2,BUNCOMBE - ASHEVILLE 23,81.82,4,22,18
BUNCOMBE - 23.3,BUNCOMBE - ASHEVILLE 23,94.12,2,17,16
BUNCOMBE - 24.1,BUNCOMBE - ASHEVILLE 24,97.89,2,95,93
BUNCOMBE - 25.1,BUNCOMBE - ASHEVILLE 25,91.49,3,47,43
BUNCOMBE - 26.1,BUNCOMBE - ASHEVILLE 26,97.87,2,47,46
BUNCOMBE - 27.2,BUNCOMBE - ASHEVILLE 27,75.0,3,32,24
BUNCOMBE - 28.1,BUNCOMBE - ASHEVILLE 28,100.0,1,41,41
BUNCOMBE - 29.2,BUNCOMBE - ASHEVILLE 29,59.46,2,37,22
BUNCOMBE - 30.2,BUNCOMBE - AVERYS CREEK,100.0,1,30,30
BUNCOMBE - 30.3,BUNCOMBE - AVERYS CREEK,91.07,2,56,51
BUNCOMBE - 31.1,BUNCOMBE - BILTMORE,89.66,3,58,52
BUNCOMBE - 32.1,BUNCOMBE - BLACK MOUNTAIN 1,94.74,5,76,72
BUNCOMBE - 33.2,BUNCOMBE - 33.2,96.55,2,58,56
BUNCOMBE - 33.3,BUNCOMBE - 33.3,96.77,2,62,60
BUNCOMBE - 34.1,BUNCOMBE - BLACK MOUNTAIN 3,100.0,1,51,51
BUNCOMBE - 35.1,BUNCOMBE - BLACK MOUNTAIN 4,96.15,3,52,50
BUNCOMBE - 36.1,BUNCOMBE - BLACK MOUNTAIN 5,95.35,4,86,82
BUNCOMBE - 37.1,BUNCOMBE - BROAD RIVER,96.34,3,82,79
BUNCOMBE - 38.2,BUNCOMBE - 38.2,94.59,3,37,35
BUNCOMBE - 38.3,BUNCOMBE - 38.3,98.18,2,55,54
BUNCOMBE - 39.2,BUNCOMBE - FAIRVIEW 2,97.56,2,41,40
BUNCOMBE - 39.3,BUNCOMBE - FAIRVIEW 2,100.0,1,48,48
BUNCOMBE - 40.2,BUNCOMBE - FLAT CREEK,98.75,2,80,79
BUNCOMBE - 41.1,BUNCOMBE - FRENCH BROAD,97.67,3,86,84
BUNCOMBE - 42.1,BUNCOMBE - HAZEL 1,96.72,3,61,59
BUNCOMBE - 43.2,BUNCOMBE - HAZEL 2,90.91,3,33,30
BUNCOMBE - 44.1,BUNCOMBE - LOWER HOMINY 1,82.58,5,132,109
BUNCOMBE - 45.1,BUNCOMBE - LOWER HOMINY 2,90.59,3,85,77
BUNCOMBE - 46.1,BUNCOMBE - LOWER HOMINY 3,95.56,2,45,43
BUNCOMBE - 47.1,BUNCOMBE - UPPER HOMINY 1 & 3,99.01,2,101,100
BUNCOMBE - 48.1,BUNCOMBE - UPPER HOMINY 2,93.33,2,90,84
BUNCOMBE - 49.1,BUNCOMBE - UPPER HOMINY 1 & 3,100.0,1,76,76
BUNCOMBE - 50.1,BUNCOMBE - IVY 1 & 2,96.3,2,54,52
BUNCOMBE - 51.2,BUNCOMBE - IVY 1 & 2,59.68,3,62,37
BUNCOMBE - 52.1,BUNCOMBE - LEICESTER 1,97.1,2,69,67
BUNCOMBE - 53.1,BUNCOMBE - LEICESTER 2 & SANDY MUSH,100.0,1,67,67
BUNCOMBE - 54.2,BUNCOMBE - LIMESTONE 1,94.8,4,173,164
BUNCOMBE - 55.1,BUNCOMBE - LIMESTONE 2,100.0,1,40,40
BUNCOMBE - 56.2,BUNCOMBE - LIMESTONE 3,100.0,1,35,35
BUNCOMBE - 57.1,BUNCOMBE - LIMESTONE 4,98.31,2,59,58
BUNCOMBE - 58.1,BUNCOMBE - NORTH BUNCOMBE,97.59,3,83,81
BUNCOMBE - 59.1,BUNCOMBE - REEMS CREEK,92.21,3,77,71
BUNCOMBE - 60.2,BUNCOMBE - 60.2,84.21,2,19,16
BUNCOMBE - 60.4,BUNCOMBE - 60.3,100.0,1,35,35
BUNCOMBE - 61.1,BUNCOMBE - RICEVILLE 1 & SWANNANOA 2,96.55,2,58,56
BUNCOMBE - 62.1,BUNCOMBE - RICEVILLE 2 & SWANNANOA 3,92.31,2,26,24
BUNCOMBE - 63.1,BUNCOMBE - LEICESTER 2 & SANDY MUSH,94.74,2,19,18
BUNCOMBE - 64.1,BUNCOMBE - SWANNANOA 1,97.53,2,81,79
BUNCOMBE - 65.1,BUNCOMBE - RICEVILLE 1 & SWANNANOA 2,100.0,1,77,77
BUNCOMBE - 66.1,BUNCOMBE - RICEVILLE 2 & SWANNANOA 3,100.0,1,42,42
BUNCOMBE - 67.1,BUNCOMBE - WEAVERVILLE,90.48,4,63,57
BUNCOMBE - 68.1,BUNCOMBE - WEST BUNCOMBE 1,95.24,4,84,80
BUNCOMBE - 681,BUNCOMBE - WEST BUNCOMBE 1,100.0,1,11,11
BUNCOMBE - 69.1,BUNCOMBE - WEST BUNCOMBE 2,100.0,1,52,52
BUNCOMBE - 70.1,BUNCOMBE - WOODFIN,90.6,4,117,106
BUNCOMBE - 71.1,BUNCOMBE - WOODLAND HILLS,92.7,5,137,127
BURKE - 0001,BURKE - DREXEL 1,100.0,1,139,139
BURKE - 0003,BURKE - DREXEL 3,100.0,1,41,41
BURKE - 0011,BURKE - ICARD 1,99.18,2,122,121
BURKE - 0012,BURKE - ICARD 2,97.5,2,40,39
BURKE - 0013,BURKE - ICARD 3,96.12,2,103,99
BURKE - 0014,BURKE - ICARD 4,100.0,1,66,66
BURKE - 0015,BURKE - ICARD 5,96.67,2,90,87
BURKE - 0018,BURKE - JONAS RIDGE,92.31,3,52,48
BURKE - 0019,BURKE - LINVILLE 1,92.31,2,52,48
BURKE - 0020,BURKE - LINVILLE 2,95.12,2,41,39
BURKE - 0021,BURKE - LOVELADY 1,98.72,2,78,77
BURKE - 0022,BURKE - LOVELADY 2,99.27,2,137,136
BURKE - 0024,BURKE - LOVELADY 4,99.28,2,139,138
BURKE - 0031,BURKE - MORGANTON 01,100.0,1,106,106
BURKE - 0034,BURKE - MORGANTON 04,98.39,2,62,61
BURKE - 0035,BURKE - MORGANTON 05,100.0,1,35,35
BURKE - 0036,BURKE - MORGANTON 06,98.68,2,76,75
BURKE - 0038,BURKE - MORGANTON 08,95.38,2,65,62
BURKE - 0039,BURKE - MORGANTON 09,98.78,2,82,81
BURKE - 0040,BURKE - MORGANTON 10,97.18,2,71,69
BURKE - 0047-A,BURKE - QUAKER MEADOW 1,96.77,2,31,30
BURKE - 0047-B,BURKE - QUAKER MEADOW 1,100.0,1,22,22
BURKE - 0048,BURKE - QUAKER MEADOW 2,98.11,2,53,52
BURKE - 0051,BURKE - SILVER CREEK 1,99.2,2,125,124
BURKE - 0052,BURKE - SILVER CREEK 2,91.84,2,49,45
BURKE - 0062,BURKE - UPPER CREEK,89.71,5,68,61
BURKE - 0064,BURKE - UPPER FORK,90.91,3,55,50
BURKE - 0066,BURKE - CHESTERFIELD,98.33,2,60,59
BURKE - 0070,BURKE - MORGANTON 07,100.0,1,54,54
BURKE - 0071,BURKE - LOWER FORK,95.04,5,121,115
BURKE - 0072,BURKE - SILVER CREEK 3,66.67,2,90,60
CABARRUS - 01-02,CABARRUS - 01-02,100.0,1,49,49
CABARRUS - 01-04,CABARRUS - 01-04,98.89,2,90,89
CABARRUS - 01-07,CABARRUS - 01-01,100.0,1,65,65
CABARRUS - 01-08,CABARRUS - 01-01,100.0,1,78,78
CABARRUS - 01-10,CABARRUS - 01-05,97.0,3,100,97
CABARRUS - 01-11,CABARRUS - 01-06,72.0,2,125,90
CABARRUS - 02-01,CABARRUS - 02-01,100.0,1,41,41
CABARRUS - 02-02,CABARRUS - 02-02,100.0,1,42,42
CABARRUS - 02-03,CABARRUS - 02-03,98.06,4,155,152
CABARRUS - 02-05,CABARRUS - 02-05,100.0,1,52,52
CABARRUS - 02-06,CABARRUS - 02-06,96.15,3,52,50
CABARRUS - 02-07,CABARRUS - 02-07,100.0,1,41,41
CABARRUS - 02-08,CABARRUS - 02-04,100.0,1,176,176
CABARRUS - 02-09,CABARRUS - 02-04,100.0,1,160,160
CABARRUS - 03-00,CABARRUS - 03-00,100.0,1,140,140
CABARRUS - 04-01,CABARRUS - 04-01,96.97,2,132,128
CABARRUS - 04-03,CABARRUS - 04-03,99.2,2,125,124
CABARRUS - 04-08,CABARRUS - 04-08,100.0,1,45,45
CABARRUS - 04-09,CABARRUS - 04-09,98.77,2,81,80
CABARRUS - 04-11,CABARRUS - 04-05,62.57,2,187,117
CABARRUS - 04-12,CABARRUS - 04-06,52.06,3,194,101
CABARRUS - 04-13,CABARRUS - 04-10,60.36,2,111,67
CABARRUS - 05-00,CABARRUS - 05-00,99.18,2,122,121
CABARRUS - 06-00,CABARRUS - 06-00,98.59,2,71,70
CABARRUS - 07-00,CABARRUS - 07-00,100.0,1,59,59
CABARRUS - 08-00,CABARRUS - 08-00,100.0,1,164,164
CABARRUS - 09-00,CABARRUS - 09-00,100.0,1,90,90
CABARRUS - 10-00,CABARRUS - 10-00,100.0,1,226,226
CABARRUS - 11-01,CABARRUS - 11-01,99.12,2,113,112
CABARRUS - 11-02,CABARRUS - 11-02,100.0,1,98,98
CABARRUS - 12-03,CABARRUS - 12-03,98.15,3,108,106
CABARRUS - 12-04,CABARRUS - 12-04,100.0,1,82,82
CABARRUS - 12-05,CABARRUS - 12-05,100.0,1,65,65
CABARRUS - 12-08,CABARRUS - 12-08,95.6,3,91,87
CABARRUS - 12-09,CABARRUS - 12-09,100.0,1,73,73
CABARRUS - 12-11,CABARRUS - 12-11,98.46,2,65,64
CABARRUS - 12-12,CABARRUS - 12-12,98.63,2,73,72
CABARRUS - 12-13,CABARRUS - 12-02,50.23,4,213,107
CABARRUS - 12-14,CABARRUS - 12-06,63.53,2,85,54
CALDWELL - 1,CALDWELL - GAMEWELL 1,71.72,3,145,104
CALDWELL - 10,CALDWELL - NORTH CATAWBA 2,83.82,4,68,57
CALDWELL - 11,CALDWELL - SAWMILLS 1,52.17,4,161,84
CALDWELL - 12,CALDWELL - PATTERSON,59.46,4,148,88
CALDWELL - 13,CALDWELL - HUDSON 1,48.39,8,217,105
CALDWELL - 14,CALDWELL - LOVELADY 2,80.19,2,106,85
CALDWELL - 15,CALDWELL - LOVELADY 1,95.71,3,70,67
CALDWELL - 2,CALDWELL - GLOBE JOHN'S RIVER / MULBERRY / WILSON CREEK,94.88,5,215,204
CALDWELL - 3,CALDWELL - KINGS CREEK,96.08,2,51,49
CALDWELL - 4,CALDWELL - LITTLE RIVER,98.08,2,104,102
CALDWELL - 5,CALDWELL - LOVELADY-RHODHISS,100.0,1,162,162
CALDWELL - 6,CALDWELL - LENOIR 4,31.16,4,215,67
CALDWELL - 7,CALDWELL - LENOIR 29,65.52,5,232,152
CALDWELL - 8,CALDWELL - LOWER CREEK 3,100.0,1,133,133
CALDWELL - 9,CALDWELL - NORTH CATAWBA 1,93.59,3,78,73
CAMDEN - CH,CAMDEN - COURTHOUSE,100.0,1,95,95
CAMDEN - SH,CAMDEN - SHILOH,100.0,1,49,49
CAMDEN - SM,CAMDEN - SOUTH MILLS,100.0,1,84,84
CARTERET - ABCH,CARTERET - ATLANTIC BEACH,100.0,1,105,105
CARTERET - ASCI,CARTERET - CEDAR ISLAND,53.45,3,174,93
CARTERET - BCRK,CARTERET - BROAD CREEK,100.0,1,55,55
CARTERET - BFT1,CARTERET - BEAUFORT 1,100.0,1,145,145
CARTERET - BFT2,CARTERET - BEAUFORT 2,100.0,1,134,134
CARTERET - BOGE,CARTERET - BOGUE,92.5,3,120,111
CARTERET - CAPE,CARTERET - CAPE CARTERET/CEDAR POINT,92.66,3,177,164
CARTERET - DASW,CARTERET - DAVIS,61.46,4,205,126
CARTERET - HAIS,CARTERET - HARKERS ISLAND,100.0,1,79,79
CARTERET - IBPK,CARTERET - PINE KNOLL SHORES,58.33,2,84,49
CARTERET - ISLE,CARTERET - EMERALD ISLE,96.88,3,224,217
CARTERET - MASM,CARTERET - SMYRNA,53.62,3,69,37
CARTERET - MCRK,CARTERET - MILL CREEK,88.89,2,18,16
CARTERET - MERR,CARTERET - MERRIMON,98.7,2,77,76
CARTERET - MHD1,CARTERET - MOREHEAD 1,100.0,1,177,177
CARTERET - MHD2,CARTERET - MOREHEAD 2,99.32,2,147,146
CARTERET - MHD3,CARTERET - MOREHEAD 3,96.33,2,109,105
CARTERET - MHD4,CARTERET - MOREHEAD 4,100.0,1,69,69
CARTERET - NPT1,CARTERET - NEWPORT 1,97.84,4,139,136
CARTERET - NPT2,CARTERET - NEWPORT 2,100.0,1,77,77
CARTERET - NRIV,CARTERET - NORTH RIVER,61.11,3,36,22
CARTERET - OTBEG,CARTERET - OTWAY/STRAITS,84.62,3,65,55
CARTERET - PELE,CARTERET - PELETIER,100.0,1,65,65
CARTERET - STEL,CARTERET - STELLA,96.15,2,52,50
