year,status,raw_precinct_key,count,suggested_canonical_precinct_key,score,tier,reason,candidate_2,candidate_3
2016,UNMATCHED,CRAVEN - 14,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CRAVEN - 15,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CRAVEN - N3,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CRAVEN - N5,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CUMBERLAND - CC05,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CUMBERLAND - CC19,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CUMBERLAND - G2B,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CUMBERLAND - G2D,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CURRITUCK - CI,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CURRITUCK - MY,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,DURHAM - 39,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,FORSYTH - 011,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,FORSYTH - 072,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,FORSYTH - 082,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,FORSYTH - 122,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,FORSYTH - 201,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,FORSYTH - 507,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,FORSYTH - ABS/PROV/CURB 1,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,FORSYTH - ABS/PROV/CURB 2,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,FORSYTH - ABS/PROV/CURB 3,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,FORSYTH - ABS/PROV/CURB 4,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,GUILFORD - ABS/CURB/PROV 4,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,GUILFORD - ABS/PROV/CURB 1,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,GUILFORD - ABS/PROV/CURB 2,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,GUILFORD - ABS/PROV/CURB 3,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,HALIFAX - LIT 1,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,HALIFAX - LIT 2,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,HALIFAX - RR 4,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,HALIFAX - RR 5,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,HALIFAX - RR 9,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,HALIFAX - RRC,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,HENDERSON - CV,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,IREDELL - BA,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,MACON - OSBOE,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,MACON - OSHOS,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,MARTIN - HS,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,MARTIN - PP,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,MARTIN - R1,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,MARTIN - R2,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,MARTIN - W,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,MOORE - PHB1,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,MOORE - WKWD,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,NEW HANOVER - H03,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,NEW HANOVER - W13,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,NEW HANOVER - W18,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,NEW HANOVER - W24,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,NEW HANOVER - W28,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,NORTHAMPTON - CONWAY,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,NORTHAMPTON - GARYSB,12,,0.0000,MANUAL_REQUIRED,none,,
