sbe_precinct_id,onemap_precinct_id,vap_weight,block_count,src_vap_total,share
BERTIE - C2,BERTIE - C2,1424,48,1424,1.0
BERTIE - IW,BERTIE - IW,340,26,340,1.0
BERTIE - M1,BERTIE - M1,748,39,748,1.0
BERTIE - M2,BERTIE - M2,860,71,860,1.0
BERTIE - MH,BERTIE - MH,751,70,751,1.0
BERTIE - MH,MARTIN - JMV,0,1,751,0.0
BERTIE - RX,BERTIE - RX,1081,90,1081,1.0
BERTIE - SN,BERTIE - SN,852,40,852,1.0
BERTIE - W1,BERTIE - W1,5279,216,5279,1.0
BERTIE - W2,BERTIE - W2,707,27,707,1.0
BERTIE - WD,BERTIE - WD,807,71,807,1.0
BERTIE - WH,BERTIE - WH,1095,55,1095,1.0
BLADEN - P10,BLADEN - P10,742,75,742,1.0
BLADEN - P15,BLADEN - P15,2894,136,2894,1.0
BLADEN - P15,ROBESON - 08,0,1,2894,0.0
BLADEN - P201,BLADEN - P201,1395,115,1395,1.0
BLADEN - P201,COLUMBUS - P15,0,2,1395,0.0
BLADEN - P202,BLADEN - P202,2631,101,2631,1.0
BLADEN - P25,BLADEN - P25,1099,120,1105,0.9945701357466064
BLADEN - P25,COLUMBUS - P82,6,3,1105,0.005429864253393665
BLADEN - P30,BLADEN - P30,1291,118,1335,0.9670411985018726
BLADEN - P30,COLUMBUS - P02B,32,7,1335,0.02397003745318352
BLADEN - P30,COLUMBUS - P14,8,2,1335,0.00599250936329588
BLADEN - P30,COLUMBUS - P16B,4,2,1335,0.00299625468164794
BLADEN - P35,BLADEN - P35,763,46,763,1.0
BLADEN - P40,BLADEN - P40,1604,147,1604,1.0
BLADEN - P45,BLADEN - P45,594,57,594,1.0
BLADEN - P501,BLADEN - P501,2706,163,2706,1.0
BLADEN - P502,BLADEN - P502,1940,113,1940,1.0
BLADEN - P55,BLADEN - P55,650,89,650,1.0
BLADEN - P60,BLADEN - P60,1598,112,1598,1.0
BLADEN - P65,BLADEN - P65,630,68,630,1.0
BLADEN - P70,BLADEN - P70,454,54,454,1.0
BLADEN - P75,BLADEN - P75,1208,106,1215,0.994238683127572
BLADEN - P75,COLUMBUS - P16B,7,2,1215,0.005761316872427984
BLADEN - P75,COLUMBUS - P117,0,4,1215,0.0
BLADEN - P80,BLADEN - P80,1205,90,1205,1.0
BRUNSWICK - 01,BRUNSWICK - NB01,2112,123,2112,1.0
BRUNSWICK - 01,COLUMBUS - P14,0,1,2112,0.0
BRUNSWICK - 02,BRUNSWICK - NB02,7219,206,8583,0.8410812070371665
BRUNSWICK - 02,BRUNSWICK - NB05,1364,25,8583,0.1589187929628335
BRUNSWICK - 03,BRUNSWICK - NB05,2009,65,2009,1.0
BRUNSWICK - 03,BRUNSWICK - NB02,0,4,2009,0.0
BRUNSWICK - 03,NEW HANOVER - CF01,0,6,2009,0.0
BRUNSWICK - 04A,BRUNSWICK - NB07,7565,168,11624,0.6508086717136958
BRUNSWICK - 04A,BRUNSWICK - NB06,3952,76,11624,0.33998623537508604
BRUNSWICK - 04A,NEW HANOVER - W03,80,3,11624,0.006882312456985547
BRUNSWICK - 04A,BRUNSWICK - SB02,27,2,11624,0.002322780454232622
BRUNSWICK - 04A,NEW HANOVER - W26,0,1,11624,0.0
BRUNSWICK - 04B1,BRUNSWICK - NB04,3547,68,3547,1.0
BRUNSWICK - 04C1,BRUNSWICK - NB04,3099,41,3754,0.8255194459243473
BRUNSWICK - 04C1,BRUNSWICK - NB05,655,7,3754,0.17448055407565263
BRUNSWICK - 04C1,BRUNSWICK - NB07,0,1,3754,0.0
BRUNSWICK - 05,BRUNSWICK - NB03,4662,211,4713,0.9891788669637174
BRUNSWICK - 05,BRUNSWICK - NB06,51,5,4713,0.010821133036282623
BRUNSWICK - 05,COLUMBUS - P14,0,3,4713,0.0
BRUNSWICK - 06,BRUNSWICK - SB01,1890,113,1890,1.0
BRUNSWICK - 06,BRUNSWICK - SB02,0,3,1890,0.0
BRUNSWICK - 07,BRUNSWICK - SB04,3561,285,3563,0.9994386752736458
BRUNSWICK - 07,BRUNSWICK - SB05,2,5,3563,0.000561324726354196
BRUNSWICK - 07,BRUNSWICK - SB02,0,1,3563,0.0
BRUNSWICK - 08,BRUNSWICK - SB05,3398,132,5575,0.6095067264573991
BRUNSWICK - 08,BRUNSWICK - SB03,1164,22,5575,0.20878923766816143
BRUNSWICK - 08,BRUNSWICK - SB08,1013,45,5575,0.18170403587443945
BRUNSWICK - 09,BRUNSWICK - SB08,1128,76,1128,1.0
BRUNSWICK - 10A,BRUNSWICK - CB06,4365,241,4365,1.0
BRUNSWICK - 10A,BRUNSWICK - SB03,0,5,4365,0.0
BRUNSWICK - 10B,BRUNSWICK - SB03,5811,98,5811,1.0
BRUNSWICK - 11,BRUNSWICK - CB01,2372,169,3024,0.7843915343915344
BRUNSWICK - 11,BRUNSWICK - SB01,381,22,3024,0.1259920634920635
BRUNSWICK - 11,BRUNSWICK - CB05,271,8,3024,0.08961640211640212
BRUNSWICK - 11,BRUNSWICK - CB06,0,1,3024,0.0
BRUNSWICK - 12,BRUNSWICK - CB05,3346,109,3346,1.0
BRUNSWICK - 12,BRUNSWICK - SB06,0,1,3346,0.0
BRUNSWICK - 13,BRUNSWICK - CB02,4555,255,4555,1.0
BRUNSWICK - 13,BRUNSWICK - CB04,0,2,4555,0.0
BRUNSWICK - 14,BRUNSWICK - CB03,2662,104,4640,0.5737068965517241
BRUNSWICK - 14,BRUNSWICK - CB02,1978,131,4640,0.42629310344827587
BRUNSWICK - 15,BRUNSWICK - WB06,6443,280,7184,0.8968541202672605
BRUNSWICK - 15,BRUNSWICK - CB02,741,49,7184,0.10314587973273942
BRUNSWICK - 15,BRUNSWICK - WB05,0,6,7184,0.0
BRUNSWICK - 16,BRUNSWICK - WB05,4136,174,5298,0.7806719516798792
BRUNSWICK - 16,BRUNSWICK - WB04,1162,59,5298,0.2193280483201208
BRUNSWICK - 17,BRUNSWICK - WB02,4960,92,6534,0.7591062136516682
BRUNSWICK - 17,BRUNSWICK - WB03,1471,55,6534,0.2251300887664524
BRUNSWICK - 17,BRUNSWICK - CB02,103,14,6534,0.0157636975818794
BRUNSWICK - 18,BRUNSWICK - WB01,2282,145,2282,1.0
BRUNSWICK - 19,BRUNSWICK - WB04,5488,132,5488,1.0
BRUNSWICK - 20,BRUNSWICK - CB04,4353,265,4353,1.0
BRUNSWICK - 21,BRUNSWICK - SB02,5113,303,5113,1.0
BRUNSWICK - 21,BRUNSWICK - SB01,0,5,5113,0.0
BRUNSWICK - 22,BRUNSWICK - SB07,3042,209,3087,0.9854227405247813
BRUNSWICK - 22,BRUNSWICK - SB06,45,3,3087,0.014577259475218658
BRUNSWICK - 22,BRUNSWICK - SB04,0,1,3087,0.0
BRUNSWICK - 23,BRUNSWICK - SB06,3108,151,3108,1.0
BUNCOMBE - 01.1,BUNCOMBE - 01.1,2752,80,2752,1.0
BUNCOMBE - 02.1,BUNCOMBE - 02.1,3339,98,3339,1.0
BUNCOMBE - 03.1,BUNCOMBE - 03.1,2409,61,2409,1.0
BUNCOMBE - 04.1,BUNCOMBE - 04.1,1402,34,1402,1.0
BUNCOMBE - 05.1,BUNCOMBE - 05.1,2504,83,2518,0.9944400317712471
BUNCOMBE - 05.1,BUNCOMBE - 70.1,9,3,2518,0.003574265289912629
BUNCOMBE - 05.1,BUNCOMBE - 71.1,5,1,2518,0.0019857029388403494
BUNCOMBE - 06.1,BUNCOMBE - 06.1,1499,35,1499,1.0
BUNCOMBE - 07.1,BUNCOMBE - 07.1,1875,57,1875,1.0
BUNCOMBE - 08.2,BUNCOMBE - 08.2,3451,57,3682,0.9372623574144486
BUNCOMBE - 08.2,BUNCOMBE - 08.3,231,3,3682,0.06273764258555133
BUNCOMBE - 08.3,BUNCOMBE - 08.3,2933,83,2933,1.0
BUNCOMBE - 08.3,BUNCOMBE - 31.1,0,1,2933,0.0
BUNCOMBE - 09.1,BUNCOMBE - 09.1,4654,82,4654,1.0
BUNCOMBE - 10.1,BUNCOMBE - 10.1,1643,56,1643,1.0
BUNCOMBE - 11.1,BUNCOMBE - 11.1,1785,47,1785,1.0
BUNCOMBE - 12.1,BUNCOMBE - 12.1,2337,59,2337,1.0
BUNCOMBE - 13.1,BUNCOMBE - 13.1,2650,55,2650,1.0
BUNCOMBE - 13.1,BUNCOMBE - 44.1,0,1,2650,0.0
BUNCOMBE - 13.1,BUNCOMBE - 54.2,0,2,2650,0.0
BUNCOMBE - 14.2,BUNCOMBE - 14.2,2644,83,2644,1.0
BUNCOMBE - 14.3,BUNCOMBE - 14.3,1841,19,1841,1.0
BUNCOMBE - 15.1,BUNCOMBE - 15.1,2146,38,2146,1.0
BUNCOMBE - 16.2,BUNCOMBE - 16.2,3174,66,3174,1.0
BUNCOMBE - 17.1,BUNCOMBE - 17.1,1622,53,1622,1.0
BUNCOMBE - 18.2,BUNCOMBE - 18.2,5601,86,5714,0.98022401120056
BUNCOMBE - 18.2,BUNCOMBE - 54.2,113,1,5714,0.01977598879943997
BUNCOMBE - 19.1,BUNCOMBE - 19.1,2209,20,2209,1.0
BUNCOMBE - 20.1,BUNCOMBE - 20.1,1069,26,1069,1.0
BUNCOMBE - 21.1,BUNCOMBE - 21.1,3061,40,3061,1.0
BUNCOMBE - 22.2,BUNCOMBE - 22.2,2273,59,2273,1.0
BUNCOMBE - 23.2,BUNCOMBE - 23.2,574,22,574,1.0
BUNCOMBE - 23.2,BUNCOMBE - 21.1,0,1,574,0.0
BUNCOMBE - 23.3,BUNCOMBE - 23.3,805,17,805,1.0
BUNCOMBE - 24.1,BUNCOMBE - 24.1,2810,95,2810,1.0
BUNCOMBE - 24.1,BUNCOMBE - 44.1,0,2,2810,0.0
BUNCOMBE - 25.1,BUNCOMBE - 25.1,2737,47,2737,1.0
BUNCOMBE - 26.1,BUNCOMBE - 26.1,2240,47,2240,1.0
BUNCOMBE - 27.2,BUNCOMBE - 27.2,830,32,830,1.0
BUNCOMBE - 28.1,BUNCOMBE - 28.1,3257,41,3257,1.0
BUNCOMBE - 28.1,BUNCOMBE - 70.1,0,1,3257,0.0
BUNCOMBE - 29.2,BUNCOMBE - 29.2,3446,36,3446,1.0
BUNCOMBE - 30.2,BUNCOMBE - 30.2,3442,30,3442,1.0
BUNCOMBE - 30.3,BUNCOMBE - 30.3,3304,50,3304,1.0
BUNCOMBE - 30.3,HENDERSON - NM,0,1,3304,0.0
BUNCOMBE - 31.1,BUNCOMBE - 31.1,1150,57,1150,1.0
BUNCOMBE - 31.1,BUNCOMBE - 08.3,0,1,1150,0.0
BUNCOMBE - 32.1,BUNCOMBE - 32.1,2811,76,2811,1.0
BUNCOMBE - 33.2,BUNCOMBE - 33.2,1402,58,1402,1.0
BUNCOMBE - 33.3,BUNCOMBE - 33.3,2201,62,2201,1.0
BUNCOMBE - 34.1,BUNCOMBE - 34.1,1173,51,1173,1.0
BUNCOMBE - 35.1,BUNCOMBE - 35.1,2119,52,2119,1.0
BUNCOMBE - 36.1,BUNCOMBE - 36.1,2634,86,2646,0.9954648526077098
BUNCOMBE - 36.1,MCDOWELL - FORT 2,12,2,2646,0.0045351473922902496
BUNCOMBE - 36.1,MCDOWELL - FORT 1,0,3,2646,0.0
BUNCOMBE - 37.1,BUNCOMBE - 37.1,1637,80,1640,0.9981707317073171
BUNCOMBE - 37.1,RUTHERFORD - 06A,3,1,1640,0.001829268292682927
BUNCOMBE - 38.2,BUNCOMBE - 38.2,1866,35,1866,1.0
BUNCOMBE - 38.2,HENDERSON - BC,0,1,1866,0.0
BUNCOMBE - 38.3,BUNCOMBE - 38.3,3509,55,3509,1.0
BUNCOMBE - 39.2,BUNCOMBE - 39.2,1691,40,1691,1.0
BUNCOMBE - 39.2,HENDERSON - BC,0,1,1691,0.0
