sbe_precinct_id,onemap_precinct_id,vap_weight,block_count,src_vap_total,share
BRUNSWICK - CB01,BRUNSWICK - CB01,2372,170,2372,1.0
BRUNSWICK - CB02,BRUNSWICK - CB02,7377,449,7377,1.0
BRUNSWICK - CB03,BRUNSWICK - CB03,2662,104,2662,1.0
BRUNSWICK - CB04,BRUNSWICK - CB04,4353,266,4353,1.0
BRUNSWICK - CB04,BRUNSWICK - CB02,0,1,4353,0.0
BRUNSWICK - CB05,BRUNSWICK - CB05,3617,117,3617,1.0
BRUNSWICK - CB06,BRUNSWICK - CB06,4365,238,4365,1.0
BRUNSWICK - CB06,BRUNSWICK - CB01,0,1,4365,0.0
BRUNSWICK - CB06,BRUNSWICK - CB05,0,2,4365,0.0
BRUNSWICK - CB06,BRUNSWICK - SB03,0,1,4365,0.0
BRUNSWICK - NB01,BRUNSWICK - NB01,2112,125,2112,1.0
BRUNSWICK - NB02,BRUNSWICK - NB02,7219,210,7219,1.0
BRUNSWICK - NB03,BRUNSWICK - NB03,4662,211,4662,1.0
BRUNSWICK - NB04,BRUNSWICK - NB04,6646,109,6646,1.0
BRUNSWICK - NB05,BRUNSWICK - NB05,4028,102,4028,1.0
BRUNSWICK - NB06,BRUNSWICK - NB06,4003,81,4003,1.0
BRUNSWICK - NB07,BRUNSWICK - NB07,7565,169,7565,1.0
BRUNSWICK - SB01,BRUNSWICK - SB01,2271,140,2271,1.0
BRUNSWICK - SB02,BRUNSWICK - SB02,5140,309,5140,1.0
BRUNSWICK - SB03,BRUNSWICK - SB03,6975,124,6975,1.0
BRUNSWICK - SB03,BRUNSWICK - SB08,0,1,6975,0.0
BRUNSWICK - SB04,BRUNSWICK - SB04,3561,286,3561,1.0
BRUNSWICK - SB05,BRUNSWICK - SB05,3400,137,3400,1.0
BRUNSWICK - SB06,BRUNSWICK - SB06,3153,155,3153,1.0
BRUNSWICK - SB07,BRUNSWICK - SB07,3042,208,3042,1.0
BRUNSWICK - SB07,BRUNSWICK - SB08,0,1,3042,0.0
BRUNSWICK - SB08,BRUNSWICK - SB08,2141,120,2141,1.0
BRUNSWICK - SB08,BRUNSWICK - SB07,0,1,2141,0.0
BRUNSWICK - WB01,BRUNSWICK - WB01,2282,145,2282,1.0
BRUNSWICK - WB02,BRUNSWICK - WB02,4960,92,4960,1.0
BRUNSWICK - WB03,BRUNSWICK - WB03,1471,55,1471,1.0
BRUNSWICK - WB04,BRUNSWICK - WB04,6650,191,6650,1.0
BRUNSWICK - WB05,BRUNSWICK - WB05,4136,180,4136,1.0
BRUNSWICK - WB06,BRUNSWICK - WB06,6443,280,6443,1.0
BUNCOMBE - 01.1,BUNCOMBE - 01.1,2752,80,2752,1.0
BUNCOMBE - 02.1,BUNCOMBE - 02.1,3339,97,3339,1.0
BUNCOMBE - 02.1,BUNCOMBE - 03.1,0,1,3339,0.0
BUNCOMBE - 03.1,BUNCOMBE - 03.1,2409,60,2409,1.0
BUNCOMBE - 03.1,BUNCOMBE - 01.1,0,1,2409,0.0
BUNCOMBE - 04.1,BUNCOMBE - 04.1,1402,34,1402,1.0
BUNCOMBE - 05.1,BUNCOMBE - 05.1,2478,81,2504,0.9896166134185304
BUNCOMBE - 05.1,BUNCOMBE - 71.1,26,1,2504,0.010383386581469648
BUNCOMBE - 05.1,BUNCOMBE - 70.1,0,1,2504,0.0
BUNCOMBE - 06.1,BUNCOMBE - 06.1,1499,35,1499,1.0
BUNCOMBE - 07.1,BUNCOMBE - 07.1,1875,57,1875,1.0
BUNCOMBE - 08.2,BUNCOMBE - 08.2,3451,57,3451,1.0
BUNCOMBE - 08.3,BUNCOMBE - 08.3,3164,87,3164,1.0
BUNCOMBE - 09.1,BUNCOMBE - 09.1,4654,82,4654,1.0
BUNCOMBE - 10.1,BUNCOMBE - 10.1,1643,56,1643,1.0
BUNCOMBE - 11.1,BUNCOMBE - 11.1,1785,47,1785,1.0
BUNCOMBE - 12.1,BUNCOMBE - 12.1,2337,59,2337,1.0
BUNCOMBE - 13.1,BUNCOMBE - 13.1,2650,55,2650,1.0
BUNCOMBE - 14.2,BUNCOMBE - 14.2,2644,82,2644,1.0
BUNCOMBE - 14.2,BUNCOMBE - 02.1,0,1,2644,0.0
BUNCOMBE - 14.3,BUNCOMBE - 14.3,1841,19,1841,1.0
BUNCOMBE - 15.1,BUNCOMBE - 15.1,2146,38,2146,1.0
BUNCOMBE - 16.2,BUNCOMBE - 16.2,3174,66,3174,1.0
BUNCOMBE - 17.1,BUNCOMBE - 17.1,1622,53,1622,1.0
BUNCOMBE - 18.2,BUNCOMBE - 18.2,5601,86,5601,1.0
