"precinct_id","vap_18plus","white_vap","black_vap","native_vap","asian_vap","white_vap_pct","black_vap_pct","native_vap_pct","asian_vap_pct","hispanic_vap","hispanic_vap_pct"
"ALAMANCE - 128","2815","1050","1143","32","42","37.3","40.6","1.14","1.49","",""
"ALAMANCE - 129","1932","1439","231","14","39","74.48","11.96","0.72","2.02","",""
"ALAMANCE - 12E","2632","969","784","49","34","36.82","29.79","1.86","1.29","",""
"ALAMANCE - 12N","4789","1168","2299","68","38","24.39","48.01","1.42","0.79","",""
"ALAMANCE - 12S","1956","706","639","11","19","36.09","32.67","0.56","0.97","",""
"ALAMANCE - 12W","2289","1661","331","21","26","72.56","14.46","0.92","1.14","",""
"ALAMANCE - 13","4674","2289","1372","40","26","48.97","29.35","0.86","0.56","",""
"ALEXANDER - B1","3088","2831","30","5","63","91.68","0.97","0.16","2.04","",""
"ALEXANDER - B2","3594","3297","68","11","52","91.74","1.89","0.31","1.45","",""
"ALEXANDER - E","2563","2379","105","3","9","92.82","4.1","0.12","0.35","",""
"ALEXANDER - G1G2","1696","1553","31","9","1","91.57","1.83","0.53","0.06","",""
"ALEXANDER - LRSL","2066","1921","43","8","10","92.98","2.08","0.39","0.48","",""
"ALEXANDER - M","2039","1708","120","9","20","83.77","5.89","0.44","0.98","",""
"ALEXANDER - S1S2","3320","2875","118","15","13","86.6","3.55","0.45","0.39","",""
"ALEXANDER - T1T4T5","5857","4549","856","36","63","77.67","14.61","0.61","1.08","",""
"ALEXANDER - T2T3","3215","2660","264","22","27","82.74","8.21","0.68","0.84","",""
"ALEXANDER - W","1835","1689","13","6","25","92.04","0.71","0.33","1.36","",""
"ALLEGHANY - 01","1304","1220","7","9","0","93.56","0.54","0.69","0.0","",""
"ALLEGHANY - 03A","4239","3658","54","14","13","86.29","1.27","0.33","0.31","",""
"ALLEGHANY - 04","1621","1426","23","3","2","87.97","1.42","0.19","0.12","",""
"ALLEGHANY - 06A","1778","1668","5","8","0","93.81","0.28","0.45","0.0","",""
"ANSON - ANS","1109","680","379","5","5","61.32","34.17","0.45","0.45","",""
"ANSON - BURN","1383","1092","201","4","11","78.96","14.53","0.29","0.8","",""
"ANSON - GULL","1065","469","554","2","11","44.04","52.02","0.19","1.03","",""
"ANSON - LILE","2296","1071","1120","24","9","46.65","48.78","1.05","0.39","",""
"ANSON - MM","1194","359","767","5","4","30.07","64.24","0.42","0.34","",""
"ANSON - PEAC","1381","1114","158","1","15","80.67","11.44","0.07","1.09","",""
"ANSON - POLK","1130","645","405","4","9","57.08","35.84","0.35","0.8","",""
"ANSON - WADES","7923","3340","4165","44","96","42.16","52.57","0.56","1.21","",""
"ANSON - WS","364","195","125","1","9","53.57","34.34","0.27","2.47","",""
"ASHE - 02","1357","1283","8","1","2","94.55","0.59","0.07","0.15","",""
"ASHE - 03","482","459","2","0","0","95.23","0.41","0.0","0.0","",""
"ASHE - 04","491","467","1","1","2","95.11","0.2","0.2","0.41","",""
"ASHE - 06","538","503","0","4","0","93.49","0.0","0.74","0.0","",""
"ASHE - 07","470","448","0","1","0","95.32","0.0","0.21","0.0","",""
"ASHE - 08","226","212","0","0","0","93.81","0.0","0.0","0.0","",""
"ASHE - 09","3920","3593","35","22","14","91.66","0.89","0.56","0.36","",""
"ASHE - 10","304","297","0","0","1","97.7","0.0","0.0","0.33","",""
"ASHE - 11","2321","2044","10","7","13","88.07","0.43","0.3","0.56","",""
"ASHE - 12","736","700","0","2","4","95.11","0.0","0.27","0.54","",""
"ASHE - 13","1103","1071","2","3","3","97.1","0.18","0.27","0.27","",""
"ASHE - 14","2383","2263","3","7","10","94.96","0.13","0.29","0.42","",""
"ASHE - 15","986","925","7","2","1","93.81","0.71","0.2","0.1","",""
"ASHE - 16","2102","1974","6","5","7","93.91","0.29","0.24","0.33","",""
"ASHE - 17","899","851","3","3","2","94.66","0.33","0.33","0.22","",""
"ASHE - 18","195","187","0","1","4","95.9","0.0","0.51","2.05","",""
"ASHE - 20","3471","3182","20","17","16","91.67","0.58","0.49","0.46","",""
"AVERY - 01","912","802","1","7","6","87.94","0.11","0.77","0.66","",""
"AVERY - 02","2879","2614","57","13","14","90.8","1.98","0.45","0.49","",""
"AVERY - 03","495","468","4","0","2","94.55","0.81","0.0","0.4","",""
"AVERY - 04","120","104","1","2","0","86.67","0.83","1.67","0.0","",""
"AVERY - 05","410","379","2","2","2","92.44","0.49","0.49","0.49","",""
"AVERY - 06","981","927","1","8","0","94.5","0.1","0.82","0.0","",""
"AVERY - 07","223","204","3","0","0","91.48","1.35","0.0","0.0","",""
"AVERY - 08","268","254","0","0","0","94.78","0.0","0.0","0.0","",""
"AVERY - 09","355","333","3","1","1","93.8","0.85","0.28","0.28","",""
"AVERY - 10","2675","1996","554","18","6","74.62","20.71","0.67","0.22","",""
"AVERY - 11","565","524","2","6","1","92.74","0.35","1.06","0.18","",""
"AVERY - 12","309","285","3","2","0","92.23","0.97","0.65","0.0","",""
"AVERY - 13","527","486","6","0","3","92.22","1.14","0.0","0.57","",""
"AVERY - 14","926","864","4","1","0","93.3","0.43","0.11","0.0","",""
"AVERY - 15","837","726","17","4","3","86.74","2.03","0.48","0.36","",""
"AVERY - 16","1371","1290","0","2","4","94.09","0.0","0.15","0.29","",""
"AVERY - 17","527","508","1","0","1","96.39","0.19","0.0","0.19","",""
"AVERY - 18","360","332","3","1","0","92.22","0.83","0.28","0.0","",""
"AVERY - 19","364","350","0","0","1","96.15","0.0","0.0","0.27","",""
"BEAUFORT - AUROR","1079","601","439","2","0","55.7","40.69","0.19","0.0","",""
"BEAUFORT - BEADM","1885","1586","120","3","5","84.14","6.37","0.16","0.27","",""
"BEAUFORT - BELHV","1639","936","585","3","4","57.11","35.69","0.18","0.24","",""
"BEAUFORT - BLCK","861","640","190","2","2","74.33","22.07","0.23","0.23","",""
"BEAUFORT - CHOCO","4281","2984","913","10","11","69.7","21.33","0.23","0.26","",""
"BEAUFORT - EDWAR","1043","655","324","4","3","62.8","31.06","0.38","0.29","",""
"BEAUFORT - GILEA","2035","1813","163","6","13","89.09","8.01","0.29","0.64","",""
"BEAUFORT - HB","854","722","74","4","4","84.54","8.67","0.47","0.47","",""
"BEAUFORT - NCRK","1364","1234","90","2","0","90.47","6.6","0.15","0.0","",""
"BEAUFORT - OLDF","1583","1040","431","1","7","65.7","27.23","0.06","0.44","",""
"BEAUFORT - PANTE","1246","796","345","7","0","63.88","27.69","0.56","0.0","",""
"BEAUFORT - PINET","927","812","64","3","2","87.59","6.9","0.32","0.22","",""
"BEAUFORT - PSJW3","1568","499","908","6","12","31.82","57.91","0.38","0.77","",""
"BEAUFORT - RVRD","2430","1650","416","11","1","67.9","17.12","0.45","0.04","",""
"BEAUFORT - SURBA","1862","1728","56","9","7","92.8","3.01","0.48","0.38","",""
"BEAUFORT - TCRK","2586","1926","405","15","19","74.48","15.66","0.58","0.73","",""
"BEAUFORT - WASH1","1672","841","717","12","13","50.3","42.88","0.72","0.78","",""
"BEAUFORT - WASH2","1672","687","840","5","17","41.09","50.24","0.3","1.02","",""
"BEAUFORT - WASH4","2544","1689","605","11","18","66.39","23.78","0.43","0.71","",""
"BEAUFORT - WASHP","1220","916","174","6","2","75.08","14.26","0.49","0.16","",""
"BEAUFORT - WDPD","1654","1395","134","1","2","84.34","8.1","0.06","0.12","",""
"BERTIE - C1","952","476","448","3","0","50.0","47.06","0.32","0.0","",""
"BERTIE - C2","1424","414","962","4","0","29.07","67.56","0.28","0.0","",""
"BERTIE - IW","340","28","293","3","0","8.24","86.18","0.88","0.0","",""
"BERTIE - M1","748","338","385","2","1","45.19","51.47","0.27","0.13","",""
"BERTIE - M2","860","320","486","2","2","37.21","56.51","0.23","0.23","",""
"BERTIE - MH","751","356","377","1","3","47.4","50.2","0.13","0.4","",""
"BERTIE - RX","1081","270","765","3","0","24.98","70.77","0.28","0.0","",""
"BERTIE - SN","852","163","653","0","3","19.13","76.64","0.0","0.35","",""
"BERTIE - W1","5279","1606","3363","38","39","30.42","63.71","0.72","0.74","",""
"BERTIE - W2","707","664","10","5","2","93.92","1.41","0.71","0.28","",""
"BERTIE - WD","807","116","663","1","0","14.37","82.16","0.12","0.0","",""
"BERTIE - WH","1095","671","395","1","3","61.28","36.07","0.09","0.27","",""
"BLADEN - P10","742","469","217","13","2","63.21","29.25","1.75","0.27","",""
"BLADEN - P15","2894","1909","568","47","8","65.96","19.63","1.62","0.28","",""
"BLADEN - P201","1408","1157","174","20","7","82.17","12.36","1.42","0.5","",""
"BLADEN - P202","2631","1832","573","46","5","69.63","21.78","1.75","0.19","",""
"BLADEN - P25","1099","596","430","20","0","54.23","39.13","1.82","0.0","",""
"BLADEN - P30","1300","256","747","217","0","19.69","57.46","16.69","0.0","",""
"BLADEN - P35","763","327","300","15","0","42.86","39.32","1.97","0.0","",""
"BLADEN - P40","1604","1177","293","24","3","73.38","18.27","1.5","0.19","",""
"BLADEN - P45","594","398","104","12","0","67.0","17.51","2.02","0.0","",""
"BLADEN - P501","2706","1315","1214","23","8","48.6","44.86","0.85","0.3","",""
"BLADEN - P502","1940","901","908","23","3","46.44","46.8","1.19","0.15","",""
"BLADEN - P55","650","332","236","14","4","51.08","36.31","2.15","0.62","",""
"BLADEN - P60","1598","738","591","47","2","46.18","36.98","2.94","0.13","",""
"BLADEN - P65","630","447","113","10","0","70.95","17.94","1.59","0.0","",""
"BLADEN - P70","454","263","126","10","0","57.93","27.75","2.2","0.0","",""
"BLADEN - P75","1208","398","710","54","6","32.95","58.77","4.47","0.5","",""
"BLADEN - P80","1205","697","341","23","0","57.84","28.3","1.91","0.0","",""
"BRUNSWICK - CB01","2372","1693","424","37","10","71.37","17.88","1.56","0.42","",""
"BRUNSWICK - CB02","7377","5951","720","70","46","80.67","9.76","0.95","0.62","",""
"BRUNSWICK - CB03","2662","2351","108","17","9","88.32","4.06","0.64","0.34","",""
"BRUNSWICK - CB04","4353","3949","79","34","13","90.72","1.81","0.78","0.3","",""
"BRUNSWICK - CB05","3617","3129","308","21","7","86.51","8.52","0.58","0.19","",""
"BRUNSWICK - CB06","4365","3800","288","14","28","87.06","6.6","0.32","0.64","",""
"BRUNSWICK - NB01","2112","1331","542","34","4","63.02","25.66","1.61","0.19","",""
"BRUNSWICK - NB02","7219","5258","1127","64","39","72.84","15.61","0.89","0.54","",""
"BRUNSWICK - NB03","4662","3656","545","58","13","78.42","11.69","1.24","0.28","",""
"BRUNSWICK - NB04","6646","5569","531","33","87","83.79","7.99","0.5","1.31","",""
"BRUNSWICK - NB05","4028","2552","932","36","52","63.36","23.14","0.89","1.29","",""
"BRUNSWICK - NB06","4003","3726","79","6","51","93.08","1.97","0.15","1.27","",""
"BRUNSWICK - NB07","7565","5979","920","30","88","79.04","12.16","0.4","1.16","",""
"BRUNSWICK - SB01","2271","1422","716","16","0","62.62","31.53","0.7","0.0","",""
"BRUNSWICK - SB02","5140","4569","162","31","24","88.89","3.15","0.6","0.47","",""
"BRUNSWICK - SB03","6975","6694","26","10","54","95.97","0.37","0.14","0.77","",""
"BRUNSWICK - SB04","3561","3164","187","17","23","88.85","5.25","0.48","0.65","",""
"BRUNSWICK - SB05","3400","2943","255","8","38","86.56","7.5","0.24","1.12","",""
"BRUNSWICK - SB06","3153","2979","26","16","11","94.48","0.82","0.51","0.35","",""
"BRUNSWICK - SB07","3042","2832","26","10","12","93.1","0.85","0.33","0.39","",""
"BRUNSWICK - SB08","2141","1982","22","16","16","92.57","1.03","0.75","0.75","",""
"BRUNSWICK - WB01","2282","1875","142","13","3","82.16","6.22","0.57","0.13","",""
"BRUNSWICK - WB02","4960","4517","266","17","24","91.07","5.36","0.34","0.48","",""
"BRUNSWICK - WB03","1471","864","486","15","6","58.74","33.04","1.02","0.41","",""
"BRUNSWICK - WB04","6650","6041","151","33","51","90.84","2.27","0.5","0.77","",""
"BRUNSWICK - WB05","4136","3945","49","9","27","95.38","1.18","0.22","0.65","",""
"BRUNSWICK - WB06","6443","5831","131","52","29","90.5","2.03","0.81","0.45","",""
"BUNCOMBE - 01.1","2752","2090","471","11","29","75.94","17.11","0.4","1.05","",""
"BUNCOMBE - 02.1","3339","2417","627","11","33","72.39","18.78","0.33","0.99","",""
"BUNCOMBE - 03.1","2409","2066","144","16","22","85.76","5.98","0.66","0.91","",""
"BUNCOMBE - 04.1","1402","1250","52","0","18","89.16","3.71","0.0","1.28","",""
"BUNCOMBE - 05.1","2504","2306","28","2","23","92.09","1.12","0.08","0.92","",""
"BUNCOMBE - 06.1","1499","1265","86","7","17","84.39","5.74","0.47","1.13","",""
"BUNCOMBE - 07.1","1875","1563","142","10","19","83.36","7.57","0.53","1.01","",""
"BUNCOMBE - 08.2","3451","2033","621","36","65","58.91","17.99","1.04","1.88","",""
"BUNCOMBE - 08.3","3164","2211","591","15","41","69.88","18.68","0.47","1.3","",""
"BUNCOMBE - 09.1","4654","3601","522","15","67","77.37","11.22","0.32","1.44","",""
"BUNCOMBE - 10.1","1643","822","689","5","11","50.03","41.94","0.3","0.67","",""
"BUNCOMBE - 11.1","1785","1250","412","8","24","70.03","23.08","0.45","1.34","",""
"BUNCOMBE - 12.1","2337","1999","91","3","26","85.54","3.89","0.13","1.11","",""
"BUNCOMBE - 13.1","2650","2046","324","7","25","77.21","12.23","0.26","0.94","",""
"BUNCOMBE - 14.2","2644","1919","345","15","37","72.58","13.05","0.57","1.4","",""
"BUNCOMBE - 14.3","1841","1428","172","8","29","77.57","9.34","0.43","1.58","",""
"BUNCOMBE - 15.1","2146","1904","54","3","15","88.72","2.52","0.14","0.7","",""
"BUNCOMBE - 16.2","3174","2503","232","17","39","78.86","7.31","0.54","1.23","",""
"BUNCOMBE - 17.1","1622","1416","78","1","21","87.3","4.81","0.06","1.29","",""
"BUNCOMBE - 18.2","5601","4746","195","17","200","84.73","3.48","0.3","3.57","",""
"BUNCOMBE - 19.1","2209","1707","202","3","63","77.27","9.14","0.14","2.85","",""
"BUNCOMBE - 20.1","1069","870","99","5","13","81.38","9.26","0.47","1.22","",""
"BUNCOMBE - 21.1","3061","2406","402","3","56","78.6","13.13","0.1","1.83","",""
"BUNCOMBE - 22.2","2273","2117","22","2","12","93.14","0.97","0.09","0.53","",""
"BUNCOMBE - 23.2","574","497","20","5","12","86.59","3.48","0.87","2.09","",""
"BUNCOMBE - 23.3","805","745","8","0","6","92.55","0.99","0.0","0.75","",""
"BUNCOMBE - 24.1","2810","2282","147","24","56","81.21","5.23","0.85","1.99","",""
"BUNCOMBE - 25.1","2737","2269","192","5","37","82.9","7.01","0.18","1.35","",""
"BUNCOMBE - 26.1","2240","1834","105","7","30","81.88","4.69","0.31","1.34","",""
"BUNCOMBE - 27.2","830","785","6","1","8","94.58","0.72","0.12","0.96","",""
"BUNCOMBE - 28.1","3257","2685","189","18","92","82.44","5.8","0.55","2.82","",""
"BUNCOMBE - 29.2","3465","2900","238","9","59","83.69","6.87","0.26","1.7","",""
"BUNCOMBE - 30.2","3442","2850","134","9","97","82.8","3.89","0.26","2.82","",""
"BUNCOMBE - 30.3","3365","2843","99","8","141","84.49","2.94","0.24","4.19","",""
"BUNCOMBE - 31.1","1150","1080","3","0","14","93.91","0.26","0.0","1.22","",""
"BUNCOMBE - 32.1","2811","2387","119","27","11","84.92","4.23","0.96","0.39","",""
"BUNCOMBE - 33.2","1402","1270","53","6","18","90.58","3.78","0.43","1.28","",""
"BUNCOMBE - 33.3","2201","1897","95","9","10","86.19","4.32","0.41","0.45","",""
"BUNCOMBE - 34.1","1173","1055","18","2","18","89.94","1.53","0.17","1.53","",""
"BUNCOMBE - 35.1","2119","1832","133","12","11","86.46","6.28","0.57","0.52","",""
"BUNCOMBE - 36.1","2634","2313","133","12","9","87.81","5.05","0.46","0.34","",""
"BUNCOMBE - 37.1","1637","1519","9","1","8","92.79","0.55","0.06","0.49","",""
"BUNCOMBE - 38.2","1872","1748","25","1","6","93.38","1.34","0.05","0.32","",""
"BUNCOMBE - 38.3","3509","3078","112","19","41","87.72","3.19","0.54","1.17","",""
"BUNCOMBE - 39.2","1691","1546","20","2","12","91.43","1.18","0.12","0.71","",""
"BUNCOMBE - 39.3","2737","2551","30","15","7","93.2","1.1","0.55","0.26","",""
"BUNCOMBE - 40.2","4154","3822","36","7","19","92.01","0.87","0.17","0.46","",""
"BUNCOMBE - 41.1","3929","3291","25","35","21","83.76","0.64","0.89","0.53","",""
"BUNCOMBE - 42.1","3137","2169","147","34","12","69.14","4.69","1.08","0.38","",""
"BUNCOMBE - 43.2","2232","1589","163","10","14","71.19","7.3","0.45","0.63","",""
"BUNCOMBE - 44.1","6208","5458","152","33","90","87.92","2.45","0.53","1.45","",""
"BUNCOMBE - 45.1","4792","4022","163","16","30","83.93","3.4","0.33","0.63","",""
"BUNCOMBE - 46.1","1679","1441","39","16","33","85.82","2.32","0.95","1.97","",""
"BUNCOMBE - 47.1","4911","4385","28","27","32","89.29","0.57","0.55","0.65","",""
"BUNCOMBE - 48.1","4780","3863","114","24","41","80.82","2.38","0.5","0.86","",""
"BUNCOMBE - 49.1","4984","4401","110","29","17","88.3","2.21","0.58","0.34","",""
"BUNCOMBE - 50.1","1699","1584","11","6","7","93.23","0.65","0.35","0.41","",""
"BUNCOMBE - 51.2","2252","2075","18","5","14","92.14","0.8","0.22","0.62","",""
"BUNCOMBE - 52.1","4661","4171","54","19","61","89.49","1.16","0.41","1.31","",""
"BUNCOMBE - 53.1","3568","3251","54","5","14","91.12","1.51","0.14","0.39","",""
"BUNCOMBE - 54.2","5417","3415","686","39","110","63.04","12.66","0.72","2.03","",""
"BUNCOMBE - 55.1","3039","2627","159","9","48","86.44","5.23","0.3","1.58","",""
"BUNCOMBE - 56.2","2149","1878","87","12","29","87.39","4.05","0.56","1.35","",""
"BUNCOMBE - 57.1","2921","2615","67","9","75","89.52","2.29","0.31","2.57","",""
"BUNCOMBE - 58.1","2422","2167","23","8","18","89.47","0.95","0.33","0.74","",""
"BUNCOMBE - 59.1","4014","3666","45","28","23","91.33","1.12","0.7","0.57","",""
"BUNCOMBE - 60.2","1631","1333","61","12","21","81.73","3.74","0.74","1.29","",""
"BUNCOMBE - 60.4","1486","1344","21","1","15","90.44","1.41","0.07","1.01","",""
"BUNCOMBE - 61.1","2448","2239","27","3","30","91.46","1.1","0.12","1.23","",""
"BUNCOMBE - 62.1","2845","2482","104","9","25","87.24","3.66","0.32","0.88","",""
"BUNCOMBE - 63.1","673","589","11","8","3","87.52","1.63","1.19","0.45","",""
"BUNCOMBE - 64.1","2271","1922","132","11","15","84.63","5.81","0.48","0.66","",""
"BUNCOMBE - 65.1","3333","2858","96","33","27","85.75","2.88","0.99","0.81","",""
"BUNCOMBE - 66.1","2057","1657","100","16","20","80.55","4.86","0.78","0.97","",""
"BUNCOMBE - 67.1","2505","2314","34","11","13","92.38","1.36","0.44","0.52","",""
"BUNCOMBE - 68.1","5463","4512","183","20","50","82.59","3.35","0.37","0.92","",""
"BUNCOMBE - 681","440","389","5","5","3","88.41","1.14","1.14","0.68","",""
"BUNCOMBE - 69.1","3355","2910","100","21","35","86.74","2.98","0.63","1.04","",""
"BUNCOMBE - 70.1","3938","3249","132","27","96","82.5","3.35","0.69","2.44","",""
"BUNCOMBE - 71.1","4916","4197","235","17","52","85.37","4.78","0.35","1.06","",""
"BURKE - 0001","3728","3100","184","34","186","83.15","4.94","0.91","4.99","",""
"BURKE - 0003","1391","1217","37","7","52","87.49","2.66","0.5","3.74","",""
"BURKE - 0011","3385","2922","37","15","189","86.32","1.09","0.44","5.58","",""
"BURKE - 0012","2044","1933","5","5","36","94.57","0.24","0.24","1.76","",""
"BURKE - 0013","3258","2912","38","9","126","89.38","1.17","0.28","3.87","",""
"BURKE - 0014","2324","2007","14","7","127","86.36","0.6","0.3","5.46","",""
"BURKE - 0015","1841","1528","32","6","102","83.0","1.74","0.33","5.54","",""
"BURKE - 0018","560","524","4","1","5","93.57","0.71","0.18","0.89","",""
"BURKE - 0019","571","518","15","2","3","90.72","2.63","0.35","0.53","",""
"BURKE - 0020","895","754","91","3","8","84.25","10.17","0.34","0.89","",""
"BURKE - 0021","1712","1555","20","0","48","90.83","1.17","0.0","2.8","",""
"BURKE - 0022","2315","2089","56","9","84","90.24","2.42","0.39","3.63","",""
"BURKE - 0024","2790","2533","35","3","78","90.79","1.25","0.11","2.8","",""
"BURKE - 0031","2963","1703","411","192","53","57.48","13.87","6.48","1.79","",""
"BURKE - 0034","2360","1711","137","112","42","72.5","5.81","4.75","1.78","",""
"BURKE - 0035","1997","1220","220","149","17","61.09","11.02","7.46","0.85","",""
"BURKE - 0036","2194","1903","42","13","75","86.74","1.91","0.59","3.42","",""
"BURKE - 0038","2740","1967","185","130","72","71.79","6.75","4.74","2.63","",""
"BURKE - 0039","2589","1844","335","43","88","71.22","12.94","1.66","3.4","",""
"BURKE - 0040","2053","1675","136","8","56","81.59","6.62","0.39","2.73","",""
"BURKE - 0047-A","2137","1597","386","18","39","74.73","18.06","0.84","1.82","",""
"BURKE - 0047-B","1415","1169","129","7","9","82.61","9.12","0.49","0.64","",""
"BURKE - 0048","2154","1834","117","18","47","85.14","5.43","0.84","2.18","",""
"BURKE - 0051","3819","3106","303","8","183","81.33","7.93","0.21","4.79","",""
"BURKE - 0052","1745","1324","129","16","196","75.87","7.39","0.92","11.23","",""
"BURKE - 0062","952","856","23","3","12","89.92","2.42","0.32","1.26","",""
"BURKE - 0064","856","786","10","7","13","91.82","1.17","0.82","1.52","",""
"BURKE - 0066","2626","2161","242","12","42","82.29","9.22","0.46","1.6","",""
"BURKE - 0070","2882","2529","97","19","65","87.75","3.37","0.66","2.26","",""
"BURKE - 0071","2651","2402","45","7","69","90.61","1.7","0.26","2.6","",""
"BURKE - 0072","5071","4107","519","33","139","80.99","10.23","0.65","2.74","",""
"CABARRUS - 01-02","3246","2361","346","19","137","72.74","10.66","0.59","4.22","",""
"CABARRUS - 01-04","5884","3475","1299","13","692","59.06","22.08","0.22","11.76","",""
"CABARRUS - 01-07","2891","2040","309","13","331","70.56","10.69","0.45","11.45","",""
"CABARRUS - 01-08","5328","3105","1463","18","240","58.28","27.46","0.34","4.5","",""
"CABARRUS - 01-10","3168","2300","401","12","128","72.6","12.66","0.38","4.04","",""
"CABARRUS - 01-11","4871","3185","787","15","518","65.39","16.16","0.31","10.63","",""
"CABARRUS - 02-01","3969","2639","627","20","125","66.49","15.8","0.5","3.15","",""
"CABARRUS - 02-02","5292","3051","1026","32","195","57.65","19.39","0.6","3.68","",""
"CABARRUS - 02-03","7322","4914","1486","23","186","67.11","20.3","0.31","2.54","",""
"CABARRUS - 02-05","4912","3344","828","13","170","68.08","16.86","0.26","3.46","",""
"CABARRUS - 02-06","4664","2496","1348","32","131","53.52","28.9","0.69","2.81","",""
"CABARRUS - 02-07","3760","2877","456","11","121","76.52","12.13","0.29","3.22","",""
"CABARRUS - 02-08","8563","4789","1560","26","1373","55.93","18.22","0.3","16.03","",""
"CABARRUS - 02-09","9237","4456","1868","16","2127","48.24","20.22","0.17","23.03","",""
"CABARRUS - 03-00","6066","4505","636","20","400","74.27","10.48","0.33","6.59","",""
"CABARRUS - 04-01","3476","2062","933","21","48","59.32","26.84","0.6","1.38","",""
"CABARRUS - 04-03","3353","2007","850","24","24","59.86","25.35","0.72","0.72","",""
"CABARRUS - 04-08","1961","1331","371","11","58","67.87","18.92","0.56","2.96","",""
"CABARRUS - 04-09","3849","2755","656","21","90","71.58","17.04","0.55","2.34","",""
"CABARRUS - 04-11","3931","2392","904","30","59","60.85","23.0","0.76","1.5","",""
"CABARRUS - 04-12","6324","3243","1855","56","71","51.28","29.33","0.89","1.12","",""
"CABARRUS - 04-13","6167","4370","933","13","96","70.86","15.13","0.21","1.56","",""
"CABARRUS - 05-00","3040","2578","186","9","32","84.8","6.12","0.3","1.05","",""
"CABARRUS - 06-00","2312","2107","36","12","12","91.13","1.56","0.52","0.52","",""
"CABARRUS - 07-00","1279","1187","7","11","14","92.81","0.55","0.86","1.09","",""
"CABARRUS - 08-00","4227","3906","129","17","7","92.41","3.05","0.4","0.17","",""
"CABARRUS - 09-00","3010","2616","123","13","27","86.91","4.09","0.43","0.9","",""
"CABARRUS - 10-00","6250","5030","562","35","77","80.48","8.99","0.56","1.23","",""
"CABARRUS - 11-01","7236","3615","1955","47","97","49.96","27.02","0.65","1.34","",""
"CABARRUS - 11-02","3717","2943","395","26","36","79.18","10.63","0.7","0.97","",""
"CABARRUS - 12-03","2490","1692","498","9","79","67.95","20.0","0.36","3.17","",""
"CABARRUS - 12-04","3607","2275","775","22","33","63.07","21.49","0.61","0.91","",""
"CABARRUS - 12-05","2719","2141","291","8","11","78.74","10.7","0.29","0.4","",""
"CABARRUS - 12-08","2373","1177","398","30","6","49.6","16.77","1.26","0.25","",""
