"county_name","county_norm","estimate_base_2020_04_01","population_2020","population_2021","population_2022","population_2023","population_2024","population_2025","change_2020_2025","change_2020_2025_pct","change_2024_2025","change_2024_2025_pct"
"Martin","MARTIN","22034","21954","21747","21493","21484","21562","21601","-353","-1.608","39","0.181"
"Mecklenburg","MECKLENBURG","1115554","1116183","1125402","1148324","1173749","1206829","1233383","117200","10.5","26554","2.2"
"Mitchell","MITCHELL","14901","14901","14980","15043","15013","15142","15062","161","1.08","-80","-0.528"
"Montgomery","MONTGOMERY","25740","25700","25834","25865","26227","26348","26403","703","2.735","55","0.209"
"Moore","MOORE","99746","100295","103056","105484","106915","108383","110619","10324","10.294","2236","2.063"
"Nash","NASH","94951","95633","95690","96364","97319","98790","99365","3732","3.902","575","0.582"
"New Hanover","NEW HANOVER","225704","226449","230167","236065","239877","243335","245959","19510","8.616","2624","1.078"
"Northampton","NORTHAMPTON","17470","17433","17118","16794","16709","16526","16491","-942","-5.404","-35","-0.212"
"Onslow","ONSLOW","204475","204984","203512","206682","210955","214672","217175","12191","5.947","2503","1.166"
"Orange","ORANGE","148711","143748","148919","150554","151717","151745","152498","8750","6.087","753","0.496"
"Pamlico","PAMLICO","12270","12308","12362","12255","12431","12688","12758","450","3.656","70","0.552"
"Pasquotank","PASQUOTANK","40569","40400","40633","40954","41370","41620","42201","1801","4.458","581","1.396"
"Pender","PENDER","60203","60614","62974","65638","68315","70150","72111","11497","18.968","1961","2.795"
"Perquimans","PERQUIMANS","13012","13024","13129","13243","13369","13474","13490","466","3.578","16","0.119"
"Person","PERSON","39081","39184","39168","39402","39819","40266","40636","1452","3.706","370","0.919"
"Pitt","PITT","171817","173642","175482","177028","178776","180882","182936","9294","5.352","2054","1.136"
"Polk","POLK","19322","19378","19701","19998","20032","20388","20533","1155","5.96","145","0.711"
"Randolph","RANDOLPH","144158","144401","145152","146192","147787","148816","149516","5115","3.542","700","0.47"
"Richmond","RICHMOND","42955","42729","42654","42371","42115","42137","42041","-688","-1.61","-96","-0.228"
"Robeson","ROBESON","116542","115980","115889","116281","118005","119400","119941","3961","3.415","541","0.453"
"Rockingham","ROCKINGHAM","91108","91201","91261","92013","92535","93670","94195","2994","3.283","525","0.56"
"Rowan","ROWAN","146883","146893","147701","149498","151833","153713","155096","8203","5.584","1383","0.9"
"Rutherford","RUTHERFORD","64453","64370","64523","64856","65380","65579","65745","1375","2.136","166","0.253"
"Sampson","SAMPSON","59045","59078","59052","59194","59984","61077","61504","2426","4.106","427","0.699"
"Scotland","SCOTLAND","34167","33413","33331","33448","33544","33610","33322","-91","-0.272","-288","-0.857"
"Stanly","STANLY","62494","62666","63156","64294","65846","67532","68830","6164","9.836","1298","1.922"
"Stokes","STOKES","44514","44565","44632","45133","45505","45812","46126","1561","3.503","314","0.685"
"Surry","SURRY","71371","71386","71282","71536","71564","72066","72287","901","1.262","221","0.307"
"Swain","SWAIN","14115","14107","14134","13982","13959","14047","14024","-83","-0.588","-23","-0.164"
"Transylvania","TRANSYLVANIA","32988","33255","33492","33637","33930","34209","34211","956","2.875","2","0.006"
"Tyrrell","TYRRELL","3245","3237","3377","3457","3505","3498","3537","300","9.268","39","1.115"
"Union","UNION","238179","239615","244459","249615","257474","263704","267674","28059","11.71","3970","1.505"
"Vance","VANCE","42582","42554","42128","42203","42359","42602","42638","84","0.197","36","0.085"
"Wake","WAKE","1129356","1130903","1153051","1173034","1200630","1229475","1257235","126332","11.171","27760","2.258"
"Warren","WARREN","18641","18606","18835","18691","18739","19055","18898","292","1.569","-157","-0.824"
"Washington","WASHINGTON","10998","10976","10884","10788","10719","10650","10638","-338","-3.079","-12","-0.113"
"Watauga","WATAUGA","54079","54466","55302","55363","55362","54921","54786","320","0.588","-135","-0.246"
"Wayne","WAYNE","117327","117758","117416","118206","119731","121168","122278","4520","3.838","1110","0.916"
"Wilkes","WILKES","65979","65871","65812","65807","66024","66252","66233","362","0.55","-19","-0.029"
"Wilson","WILSON","79268","79816","79263","79357","80246","80885","81150","1334","1.671","265","0.328"
"Yadkin","YADKIN","37213","37250","37287","37531","37867","38223","38325","1075","2.886","102","0.267"
"Yancey","YANCEY","18470","18492","18759","18772","18918","19062","19084","592","3.201","22","0.115"
"The Census Bureau has reviewed this data product to ensure appropriate access, use, and disclosure avoidance protection of the confidential source data used to produce this product (Data Management System (DMS) number: P-6000042 and P-7501659. Disclosure Review Board (DRB) approval number: CBDRB-FY25-0466).","THE CENSUS BUREAU HAS REVIEWED THIS DATA PRODUCT TO ENSURE APPROPRIATE ACCESS, USE, AND DISCLOSURE AVOIDANCE PROTECTION OF THE CONFIDENTIAL SOURCE DATA USED TO PRODUCE THIS PRODUCT (DATA MANAGEMENT SYSTEM (DMS) NUMBER: P-6000042 AND P-7501659. DISCLOSURE REVIEW BOARD (DRB) APPROVAL NUMBER: CBDRB-FY25-0466).","0","0","0","0","0","0","0","0",,"0",
"The estimates are based on the 2020 Modified Age and Race Census (MARC) file and include changes from Count Question Resolution, the Post-Census Group Quarters Review, and geographic revisions. The estimates add births to, subtract deaths from, and add net migration to the April 1, 2020 estimates base. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. All geographic boundaries for the 2025 population estimates series are as of January 1, 2025.","THE ESTIMATES ARE BASED ON THE 2020 MODIFIED AGE AND RACE CENSUS (MARC) FILE AND INCLUDE CHANGES FROM COUNT QUESTION RESOLUTION, THE POST-CENSUS GROUP QUARTERS REVIEW, AND GEOGRAPHIC REVISIONS. THE ESTIMATES ADD BIRTHS TO, SUBTRACT DEATHS FROM, AND ADD NET MIGRATION TO THE APRIL 1, 2020 ESTIMATES BASE. FOR POPULATION ESTIMATES METHODOLOGY STATEMENTS, SEE HTTPS://WWW.CENSUS.GOV/PROGRAMS-SURVEYS/POPEST/TECHNICAL-DOCUMENTATION/METHODOLOGY.HTML. ALL GEOGRAPHIC BOUNDARIES FOR THE 2025 POPULATION ESTIMATES SERIES ARE AS OF JANUARY 1, 2025.","0","0","0","0","0","0","0","0",,"0",
"Suggested Citation:","SUGGESTED CITATION:","0","0","0","0","0","0","0","0",,"0",
"Annual Estimates of the Resident Population for Counties in North Carolina: April 1, 2020 to July 1, 2025 (CO-EST2025-POP-37)","ANNUAL ESTIMATES OF THE RESIDENT POPULATION FOR COUNTIES IN NORTH CAROLINA: APRIL 1, 2020 TO JULY 1, 2025 (CO-EST2025-POP-37)","0","0","0","0","0","0","0","0",,"0",
"Source: U.S. Census Bureau, Population Division","SOURCE: U.S. CENSUS BUREAU, POPULATION DIVISION","0","0","0","0","0","0","0","0",,"0",
"Release Date: March 2026","RELEASE DATE: MARCH 2026","0","0","0","0","0","0","0","0",,"0",
