county,year,precinct_abbrv,source_precinct,sbe2006_seims_code,sbe2006_precinct,sbe2006_key,alias_values,confidence,source_file,notes
CUMBERLAND,2000,CC30,CROSS CREEK #30,CC30,CROSS CREEK 30,CUMBERLAND - CROSS CREEK 30,CC30,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,CC31,CROSS CREEK #31,CC31,CROSS CREEK 31,CUMBERLAND - CROSS CREEK 31,CC31,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,CC32,CROSS CREEK #32,CC32,CROSS CREEK 32,CUMBERLAND - CROSS CREEK 32,CC32,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,CC33,CROSS CREEK #33,CC33,CROSS CREEK 33,CUMBERLAND - CROSS CREEK 33,CC33,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,CC34,CROSS CREEK #34,CC34,CROSS CREEK 34,CUMBERLAND - CROSS CREEK 34,CC34,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,CL57,CLIFFDALE WEST,CL57,CLIFFDALE WEST,CUMBERLAND - CLIFFDALE WEST,CL57,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,CU02,CUMBERLAND #2,CU02,CUMBERLAND 2,CUMBERLAND - CUMBERLAND 2,CU02,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,CU03,CUMBERLAND #3,CU03,CUMBERLAND 3,CUMBERLAND - CUMBERLAND 3,CU03,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,HM02,HOPE MILLS #2,HM02,HOPE MILLS 2,CUMBERLAND - HOPE MILLS 2,HM02,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,HM03,HOPE MILLS #3,HM03,HOPE MILLS 3,CUMBERLAND - HOPE MILLS 3,HM03,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,JV64,JUDSON-VANDER,JV64,JUDSON-VANDER,CUMBERLAND - JUDSON-VANDER,JV64,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,LI65,LINDEN,LI65,LINDEN,CUMBERLAND - LINDEN,LI65,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,LO66,LONG HILL,LO66,LONG HILL,CUMBERLAND - LONG HILL,LO66,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,LR63,LAKE RIM,LR63,LAKE RIM,CUMBERLAND - LAKE RIM,LR63,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,MA67,MANCHESTER,MA67,MANCHESTER,CUMBERLAND - MANCHESTER,MA67,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,MB62,MONTIBELLO,MB62,MONTIBELLO,CUMBERLAND - MONTIBELLO,MB62,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,MR02,MORGANTON RD #2,MR02,MORGANTON RD 2,CUMBERLAND - MORGANTON RD 2,MR02,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,PM02,PEARCES MILL #2,PM02,PEARCES MILL 2,CUMBERLAND - PEARCES MILL 2,PM02,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,PM03,PEARCES MILL #3,PM03,PEARCES MILL 3,CUMBERLAND - PEARCES MILL 3,PM03,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,PM04,PEARCES MILL #4,PM04,PEARCES MILL 4,CUMBERLAND - PEARCES MILL 4,PM04,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,SH77,SHERWOOD,SH77,SHERWOOD,CUMBERLAND - SHERWOOD,SH77,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,SL78,SPRING LAKE,SL78,SPRING LAKE,CUMBERLAND - SPRING LAKE,SL78,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,ST79,STEDMAN,ST79,STEDMAN,CUMBERLAND - STEDMAN,ST79,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,WA81,WADE,WA81,WADE,CUMBERLAND - WADE,WA81,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,WE82,WESTAREA,WE82,WESTAREA,CUMBERLAND - WESTAREA,WE82,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,012,UNION CROSS ELEM SCHOOL,012,012,FORSYTH - 012,012;12,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,013,SEDGE GARDEN ELEM SCH,013,013,FORSYTH - 013,013;13,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,014,BEESONS CROSSROADS FIRE,014,014,FORSYTH - 014,014;14,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,015,SOUTHEAST MIDDLE SCHOOL,015,015,FORSYTH - 015,015;15,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,031,RURAL HALL ELEM SCHOOL,031,031,FORSYTH - 031,031;31,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,032,NORTHWEST MIDDLE SCHOOL,032,032,FORSYTH - 032,032;32,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,033,ST ANDREWS PRES CHURCH,033,033,FORSYTH - 033,033;33,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,034,KINGSWOOD UNITED METH,034,034,FORSYTH - 034,034;34,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,042,FELLOWSHIP BAPT CHURCH,042,042,FORSYTH - 042,042;42,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,043,FRIEDLAND MORAV CHURCH,043,043,FORSYTH - 043,043;43,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,051,CLEMMONS ELEM SCHOOL,051,051,FORSYTH - 051,051;51,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,052,CLEMMONS PRES CHURCH,052,052,FORSYTH - 052,052;52,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,053,VFW POST 9010,053,053,FORSYTH - 053,053;53,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,054,CLEMMONS CIVIC CENTER,054,054,FORSYTH - 054,054;54,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,055,HOLY FAMILY CATHOLIC CHURCH,055,055,FORSYTH - 055,055;55,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,061,KERNERSVILLE LIBRARY,061,061,FORSYTH - 061,061;61,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,062,PINEY GROVE FIRE STATION,062,062,FORSYTH - 062,062;62,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,063,CASH ELEMENTARY SCHOOL,063,063,FORSYTH - 063,063;63,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,064,KERNERSVILLE ELEM SCHOOL,064,064,FORSYTH - 064,064;64,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,065,ROBINWOOD AT KERNERSVILLE,065,065,FORSYTH - 065,065;65,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,066,PINEY GROVE ELEMENTARY,066,066,FORSYTH - 066,066;66,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,067,KERNERSVILLE RECREATION,067,067,FORSYTH - 067,067;67,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,071,LEWISVILLE ELEMENTARY,071,071,FORSYTH - 071,071;71,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,072,SOUTHWEST ELEM SCHOOL,072,072,FORSYTH - 072,072;72,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,073,UNITY MORAVIAN CHURCH,073,073,FORSYTH - 073,073;73,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,074,MEADOWLARK MIDDLE SCHOOL,074,074,FORSYTH - 074,074;74,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,075,LEWISVILLE LIBRARY,075,075,FORSYTH - 075,075;75,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,081,OAK SUMMIT UNITED METHODIST,081,081,FORSYTH - 081,081;81,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,082,EAST FORSYTH HIGH SCHOOL,082,082,FORSYTH - 082,082;82,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,083,IBRAHAM ELEM SCHOOL,083,083,FORSYTH - 083,083;83,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,092,MACEDONIA BAPT CHURCH,092,092,FORSYTH - 092,092;92,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,101,BETHANIA MORAV CHURCH,101,101,FORSYTH - 101,101,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,111,PROVIDENCE MORAVIAN CHURCH,111,111,FORSYTH - 111,111,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,112,WALKERTOWN LIBRARY,112,112,FORSYTH - 112,112,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,122,GRIFFITH FIRE STATION,122,122,FORSYTH - 122,122,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,123,FORSYTH FRIENDS MTG HSE,123,123,FORSYTH - 123,123,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,131,VIENNA ELEMENTARY SCHOOL,131,131,FORSYTH - 131,131,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,132,PFAFFTOWN CHRISTIAN,132,132,FORSYTH - 132,132,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,133,SHILOH LUTHERAN CHURCH,133,133,FORSYTH - 133,133,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,201,BROWN DOUGLAS RECREATION,201,201,FORSYTH - 201,201,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,203,MARTIN LUTHER KING REC,203,203,FORSYTH - 203,203,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,204,JOEL/VETERANS COLISEUM,204,204,FORSYTH - 204,204,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,205,PAISLEY MIDDLE SCHOOL,205,205,FORSYTH - 205,205,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,206,NORTH HILLS ELEMENTARY SCHOOL,206,206,FORSYTH - 206,206,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,207,NEW HOPE UNITED METH,207,207,FORSYTH - 207,207,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,301,ASHLEY ELEMENTARY SCHOOL,301,301,FORSYTH - 301,301,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,302,HANES/LOWRANCE MIDDLE SCHOOL,302,302,FORSYTH - 302,302,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,304,FORSYTH TECH CC WOODRUFF CTR,304,304,FORSYTH - 304,304,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,305,CARVER HIGH SCHOOL,305,305,FORSYTH - 305,305,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,306,MINERAL SPRINGS ELEM SCHOOL,306,306,FORSYTH - 306,306,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,401,WINSTON LAKE FAM YMCA,401,401,FORSYTH - 401,401,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,402,14TH STREET RECREATION,402,402,FORSYTH - 402,402,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,403,LEAP ACADEMY AT KENNEDY,403,403,FORSYTH - 403,403,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,404,EAST WINSTON HERITAGE CENTER,404,404,FORSYTH - 404,404,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,405,SIMS RECREATION CENTER,405,405,FORSYTH - 405,405,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,501,ST ANDREWS METHODIST CHURCH,501,501,FORSYTH - 501,501,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,502,FOREST PARK ELEMENTARY,502,502,FORSYTH - 502,502,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,503,TRINITY MORAV CHURCH,503,503,FORSYTH - 503,503,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,504,HILL MIDDLE SCHOOL,504,504,FORSYTH - 504,504,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,505,EASTON ELEMENTARY,505,505,FORSYTH - 505,505,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,506,COVENANT PRESBYTERIAN,506,506,FORSYTH - 506,506,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
FORSYTH,2000,507,SEDGE GARDEN RECREATION,507,507,FORSYTH - 507,507,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
