line_year,year,contest,file,district,raw_statewide_votes,staged_statewide_votes,staged_minus_raw_votes,candidate_complete,production_statewide_votes,baseline_usable,production_margin_pct,staged_margin_pct,staged_minus_production_pp,production_winner,staged_winner,winner_flip,production_total_votes,staged_total_votes,disposition
2024,2000,governor,congressional_governor_2000.json,1,2919560,2919562,2,True,2919561,True,-28.49,-28.15,0.34,DEM,DEM,False,252223,250660,pass
2024,2000,governor,congressional_governor_2000.json,2,2919560,2919562,2,True,2919561,True,-13.62,-16.51,-2.89,DEM,DEM,False,216390,198327,review
2024,2000,governor,congressional_governor_2000.json,3,2919560,2919562,2,True,2919561,True,-8.05,-7.26,0.79,DEM,DEM,False,200598,200391,pass
2024,2000,governor,congressional_governor_2000.json,4,2919560,2919562,2,True,2919561,True,-33.26,-30.06,3.2,DEM,DEM,False,152496,170763,review
2024,2000,governor,congressional_governor_2000.json,5,2919560,2919562,2,True,2919561,True,-2.42,0.32,2.74,DEM,REP,True,261503,253789,map_review
2024,2000,governor,congressional_governor_2000.json,6,2919560,2919562,2,True,2919561,True,4.07,7.02,2.95,REP,REP,False,209296,217644,review
2024,2000,governor,congressional_governor_2000.json,7,2919560,2919562,2,True,2919561,True,-19.98,-19.24,0.74,DEM,DEM,False,192409,198565,pass
2024,2000,governor,congressional_governor_2000.json,8,2919560,2919562,2,True,2919561,True,-4.52,4.14,8.66,DEM,REP,True,203334,198564,map_review
2024,2000,governor,congressional_governor_2000.json,9,2919560,2919562,2,True,2919561,True,2.35,-1.78,-4.13,REP,DEM,True,209162,207196,map_review
2024,2000,governor,congressional_governor_2000.json,10,2919560,2919562,2,True,2919561,True,10.09,6.66,-3.43,REP,REP,False,229307,225903,review
2024,2000,governor,congressional_governor_2000.json,11,2919560,2919562,2,True,2919561,True,4.22,4.22,0.0,REP,REP,False,252260,252247,pass
2024,2000,governor,congressional_governor_2000.json,12,2919560,2919562,2,True,2919561,True,5.27,-6.86,-12.13,REP,DEM,True,154781,187073,map_review
2024,2000,governor,congressional_governor_2000.json,13,2919560,2919562,2,True,2919561,True,-9.5,-7.97,1.53,DEM,DEM,False,169505,169039,pass
2024,2000,governor,congressional_governor_2000.json,14,2919560,2919562,2,True,2919561,True,7.62,11.07,3.45,REP,REP,False,216297,189401,review
2024,2002,us_senate,congressional_us_senate_2002.json,1,2331181,2331172,-9,True,2331172,True,-5.71,-5.71,0.0,DEM,DEM,False,196027,196027,pass
2024,2002,us_senate,congressional_us_senate_2002.json,2,2331181,2331172,-9,True,2331172,True,2.18,2.18,0.0,REP,REP,False,160589,160589,pass
2024,2002,us_senate,congressional_us_senate_2002.json,3,2331181,2331172,-9,True,2331172,True,14.32,14.32,0.0,REP,REP,False,164589,164589,pass
2024,2002,us_senate,congressional_us_senate_2002.json,4,2331181,2331172,-9,True,2331172,True,-16.3,-16.3,0.0,DEM,DEM,False,145989,145989,pass
2024,2002,us_senate,congressional_us_senate_2002.json,5,2331181,2331172,-9,True,2331172,True,7.33,7.33,0.0,REP,REP,False,206564,206564,pass
2024,2002,us_senate,congressional_us_senate_2002.json,6,2331181,2331172,-9,True,2331172,True,24.32,24.32,0.0,REP,REP,False,172611,172611,pass
2024,2002,us_senate,congressional_us_senate_2002.json,7,2331181,2331172,-9,True,2331172,True,4.3,4.3,0.0,REP,REP,False,160629,160629,pass
2024,2002,us_senate,congressional_us_senate_2002.json,8,2331181,2331172,-9,True,2331172,True,17.31,17.31,0.0,REP,REP,False,155450,155450,pass
2024,2002,us_senate,congressional_us_senate_2002.json,9,2331181,2331172,-9,True,2331172,True,19.33,19.33,0.0,REP,REP,False,157821,157821,pass
2024,2002,us_senate,congressional_us_senate_2002.json,10,2331181,2331172,-9,True,2331172,True,17.23,17.23,0.0,REP,REP,False,176099,176099,pass
2024,2002,us_senate,congressional_us_senate_2002.json,11,2331181,2331172,-9,True,2331172,True,8.8,8.8,0.0,REP,REP,False,203179,203179,pass
2024,2002,us_senate,congressional_us_senate_2002.json,12,2331181,2331172,-9,True,2331172,True,-14.48,-14.48,0.0,DEM,DEM,False,136663,136663,pass
2024,2002,us_senate,congressional_us_senate_2002.json,13,2331181,2331172,-9,True,2331172,True,18.57,18.57,0.0,REP,REP,False,144835,144835,pass
2024,2002,us_senate,congressional_us_senate_2002.json,14,2331181,2331172,-9,True,2331172,True,21.19,21.19,0.0,REP,REP,False,150127,150127,pass
2024,2004,president,congressional_president_2004.json,1,3501007,3501009,2,True,3501009,True,2.86,2.86,0.0,REP,REP,False,288869,288869,pass
2024,2004,president,congressional_president_2004.json,2,3501007,3501009,2,True,3501009,True,-5.9,-5.9,0.0,DEM,DEM,False,248391,248391,pass
2024,2004,president,congressional_president_2004.json,3,3501007,3501009,2,True,3501009,True,22.74,22.74,0.0,REP,REP,False,236126,236126,pass
2024,2004,president,congressional_president_2004.json,4,3501007,3501009,2,True,3501009,True,-23.42,-23.42,0.0,DEM,DEM,False,235728,235728,pass
2024,2004,president,congressional_president_2004.json,5,3501007,3501009,2,True,3501009,True,14.16,14.16,0.0,REP,REP,False,296503,296503,pass
2024,2004,president,congressional_president_2004.json,6,3501007,3501009,2,True,3501009,True,28.61,28.61,0.0,REP,REP,False,252459,252459,pass
2024,2004,president,congressional_president_2004.json,7,3501007,3501009,2,True,3501009,True,12.91,12.91,0.0,REP,REP,False,239461,239461,pass
2024,2004,president,congressional_president_2004.json,8,3501007,3501009,2,True,3501009,True,25.37,25.37,0.0,REP,REP,False,239590,239590,pass
2024,2004,president,congressional_president_2004.json,9,3501007,3501009,2,True,3501009,True,24.51,24.51,0.0,REP,REP,False,250781,250781,pass
2024,2004,president,congressional_president_2004.json,10,3501007,3501009,2,True,3501009,True,22.05,22.05,0.0,REP,REP,False,262306,262306,pass
2024,2004,president,congressional_president_2004.json,11,3501007,3501009,2,True,3501009,True,15.68,15.68,0.0,REP,REP,False,297789,297789,pass
2024,2004,president,congressional_president_2004.json,12,3501007,3501009,2,True,3501009,True,-21.13,-21.13,0.0,DEM,DEM,False,211867,211867,pass
2024,2004,president,congressional_president_2004.json,13,3501007,3501009,2,True,3501009,True,24.34,24.34,0.0,REP,REP,False,216095,216095,pass
2024,2004,president,congressional_president_2004.json,14,3501007,3501009,2,True,3501009,True,28.22,28.22,0.0,REP,REP,False,225044,225044,pass
2024,2004,governor,congressional_governor_2004.json,1,3486688,3486690,2,True,3486690,True,-26.65,-26.65,0.0,DEM,DEM,False,288627,288627,pass
2024,2004,governor,congressional_governor_2004.json,2,3486688,3486690,2,True,3486690,True,-25.22,-25.22,0.0,DEM,DEM,False,248364,248364,pass
2024,2004,governor,congressional_governor_2004.json,3,3486688,3486690,2,True,3486690,True,-8.53,-8.53,0.0,DEM,DEM,False,234901,234901,pass
2024,2004,governor,congressional_governor_2004.json,4,3486688,3486690,2,True,3486690,True,-37.6,-37.6,0.0,DEM,DEM,False,234799,234799,pass
2024,2004,governor,congressional_governor_2004.json,5,3486688,3486690,2,True,3486690,True,-12.25,-12.25,0.0,DEM,DEM,False,295518,295518,pass
2024,2004,governor,congressional_governor_2004.json,6,3486688,3486690,2,True,3486690,True,-1.02,-1.02,0.0,DEM,DEM,False,251838,251838,pass
2024,2004,governor,congressional_governor_2004.json,7,3486688,3486690,2,True,3486690,True,-15.85,-15.85,0.0,DEM,DEM,False,239462,239462,pass
2024,2004,governor,congressional_governor_2004.json,8,3486688,3486690,2,True,3486690,True,-1.38,-1.38,0.0,DEM,DEM,False,237465,237465,pass
2024,2004,governor,congressional_governor_2004.json,9,3486688,3486690,2,True,3486690,True,-3.04,-3.04,0.0,DEM,DEM,False,250568,250568,pass
2024,2004,governor,congressional_governor_2004.json,10,3486688,3486690,2,True,3486690,True,-3.54,-3.54,0.0,DEM,DEM,False,260679,260679,pass
2024,2004,governor,congressional_governor_2004.json,11,3486688,3486690,2,True,3486690,True,-6.21,-6.21,0.0,DEM,DEM,False,293742,293742,pass
2024,2004,governor,congressional_governor_2004.json,12,3486688,3486690,2,True,3486690,True,-33.74,-33.74,0.0,DEM,DEM,False,208360,208360,pass
2024,2004,governor,congressional_governor_2004.json,13,3486688,3486690,2,True,3486690,True,-7.66,-7.66,0.0,DEM,DEM,False,216592,216592,pass
2024,2004,governor,congressional_governor_2004.json,14,3486688,3486690,2,True,3486690,True,2.53,2.53,0.0,REP,REP,False,225775,225775,pass
2024,2004,us_senate,congressional_us_senate_2004.json,1,3472082,3472079,-3,True,3472079,True,-7.52,-7.52,0.0,DEM,DEM,False,287557,287557,pass
2024,2004,us_senate,congressional_us_senate_2004.json,2,3472082,3472079,-3,True,3472079,True,-11.97,-11.97,0.0,DEM,DEM,False,245404,245404,pass
2024,2004,us_senate,congressional_us_senate_2004.json,3,3472082,3472079,-3,True,3472079,True,13.12,13.12,0.0,REP,REP,False,233712,233712,pass
2024,2004,us_senate,congressional_us_senate_2004.json,4,3472082,3472079,-3,True,3472079,True,-27.41,-27.41,0.0,DEM,DEM,False,234866,234866,pass
2024,2004,us_senate,congressional_us_senate_2004.json,5,3472082,3472079,-3,True,3472079,True,8.05,8.05,0.0,REP,REP,False,296127,296127,pass
2024,2004,us_senate,congressional_us_senate_2004.json,6,3472082,3472079,-3,True,3472079,True,21.0,21.0,0.0,REP,REP,False,252007,252007,pass
2024,2004,us_senate,congressional_us_senate_2004.json,7,3472082,3472079,-3,True,3472079,True,3.39,3.39,0.0,REP,REP,False,235997,235997,pass
2024,2004,us_senate,congressional_us_senate_2004.json,8,3472082,3472079,-3,True,3472079,True,15.92,15.92,0.0,REP,REP,False,236808,236808,pass
2024,2004,us_senate,congressional_us_senate_2004.json,9,3472082,3472079,-3,True,3472079,True,15.57,15.57,0.0,REP,REP,False,250076,250076,pass
2024,2004,us_senate,congressional_us_senate_2004.json,10,3472082,3472079,-3,True,3472079,True,16.71,16.71,0.0,REP,REP,False,261119,261119,pass
2024,2004,us_senate,congressional_us_senate_2004.json,11,3472082,3472079,-3,True,3472079,True,8.01,8.01,0.0,REP,REP,False,289202,289202,pass
2024,2004,us_senate,congressional_us_senate_2004.json,12,3472082,3472079,-3,True,3472079,True,-27.52,-27.52,0.0,DEM,DEM,False,209255,209255,pass
2024,2004,us_senate,congressional_us_senate_2004.json,13,3472082,3472079,-3,True,3472079,True,13.95,13.95,0.0,REP,REP,False,214571,214571,pass
2024,2004,us_senate,congressional_us_senate_2004.json,14,3472082,3472079,-3,True,3472079,True,19.12,19.12,0.0,REP,REP,False,225378,225378,pass
