year,county,house,senate,congressional,returned_absentee_voters,county_share
2002,JONES,12,6,1,396,0.7826087
2002,JONES,12,6,3,110,0.2173913
2002,LEE,51,22,2,2245,1.0
2002,LENOIR,10,7,3,1508,0.66169373
2002,LENOIR,12,7,1,573,0.25142606
2002,LENOIR,10,7,1,154,0.0675735
2002,LENOIR,12,7,3,44,0.01930671
2002,LINCOLN,97,42,10,2002,1.0
2002,MACON,120,50,11,3353,0.94317862
2002,MACON,119,50,11,202,0.05682138
2002,MADISON,118,47,11,1694,0.99882075
2002,MADISON,,47,11,2,0.00117925
2002,MARTIN,4,3,1,583,0.85233918
2002,MARTIN,8,3,1,101,0.14766082
2002,MCDOWELL,85,47,11,2272,1.0
2002,MITCHELL,84,47,10,850,1.0
2002,MONTGOMERY,69,29,8,615,1.0
2002,MOORE,52,22,6,2702,0.93108201
2002,MOORE,51,22,6,200,0.06891799
2002,NASH,25,11,2,1423,0.48933975
2002,NASH,25,11,3,969,0.33321871
2002,NASH,7,11,1,214,0.0735901
2002,NASH,7,11,3,205,0.07049519
2002,NASH,7,11,2,97,0.03335626
2002,NEW HANOVER,19,9,7,3173,0.56258865
2002,NEW HANOVER,17,9,7,936,0.16595745
2002,NEW HANOVER,16,9,7,933,0.16542553
2002,NEW HANOVER,18,9,7,598,0.10602837
2002,NORTHAMPTON,5,4,1,407,1.0
2002,ONSLOW,15,6,3,1234,0.49697946
2002,ONSLOW,14,6,3,1078,0.43415224
2002,ONSLOW,13,6,3,171,0.0688683
2002,ORANGE,56,23,4,2712,0.56370817
2002,ORANGE,55,23,4,1113,0.23134483
2002,ORANGE,54,23,4,986,0.204947
2002,PAMLICO,3,2,3,1067,1.0
2002,PASQUOTANK,1,1,1,1589,1.0
2002,PENDER,16,8,7,1300,1.0
2002,PERQUIMANS,2,1,1,387,1.0
2002,PERSON,55,18,13,2767,1.0
2002,PITT,9,5,3,1784,0.44433375
2002,PITT,4,5,3,1071,0.26674969
2002,PITT,8,3,1,556,0.1384807
2002,PITT,4,3,1,192,0.04782067
2002,PITT,9,3,1,139,0.03462017
2002,PITT,9,5,1,128,0.03188045
2002,PITT,8,5,3,76,0.01892902
2002,PITT,8,5,1,41,0.01021171
2002,PITT,4,5,1,28,0.00697385
2002,POLK,113,48,11,1852,1.0
2002,RANDOLPH,67,29,6,1734,0.50701754
2002,RANDOLPH,78,29,6,1686,0.49298246
2002,RICHMOND,68,25,8,1333,0.98960653
2002,RICHMOND,,25,8,14,0.01039347
2002,ROBESON,47,13,7,343,0.6411215
2002,ROBESON,48,13,7,109,0.20373832
2002,ROBESON,46,13,7,83,0.15514019
2002,ROCKINGHAM,66,26,13,966,0.49742533
2002,ROCKINGHAM,65,26,13,778,0.40061792
2002,ROCKINGHAM,65,26,5,117,0.06024717
2002,ROCKINGHAM,66,26,5,81,0.04170958
2002,ROWAN,77,34,12,1905,0.48683874
2002,ROWAN,76,34,6,1328,0.33938155
2002,ROWAN,76,36,6,342,0.08740097
2002,ROWAN,77,34,6,128,0.03271147
2002,ROWAN,77,36,6,110,0.02811142
2002,ROWAN,76,36,12,100,0.02555584
2002,RUTHERFORD,112,46,11,1550,0.53485162
2002,RUTHERFORD,112,46,10,1348,0.46514838
2002,SAMPSON,22,10,7,644,0.3449384
2002,SAMPSON,21,10,2,543,0.29084092
2002,SAMPSON,22,10,2,471,0.25227638
2002,SAMPSON,21,10,7,209,0.1119443
2002,SCOTLAND,46,25,8,1102,0.68235294
2002,SCOTLAND,48,25,8,503,0.31145511
2002,SCOTLAND,48,25,7,10,0.00619195
2002,STANLY,70,25,8,1188,0.55905882
2002,STANLY,68,25,8,937,0.44094118
2002,STOKES,91,30,5,951,1.0
2002,SURRY,90,30,5,1993,0.7874358
2002,SURRY,91,30,5,538,0.2125642
2002,SWAIN,119,50,11,608,0.9728
2002,SWAIN,,,11,17,0.0272
2002,TRANSYLVANIA,113,50,11,2376,0.92595479
2002,TRANSYLVANIA,117,50,11,190,0.07404521
2002,TYRRELL,2,3,3,53,1.0
2002,UNION,73,35,9,3779,0.56673665
2002,UNION,70,35,8,1408,0.21115777
2002,UNION,69,35,9,818,0.12267546
2002,UNION,70,35,9,397,0.05953809
2002,UNION,69,35,8,266,0.03989202
2002,WARREN,27,4,1,482,0.81556684
2002,WARREN,49,4,1,109,0.18443316
2002,WASHINGTON,6,3,1,375,1.0
2002,WATAUGA,82,45,5,4192,1.0
2002,WAYNE,11,7,1,2618,0.32864675
2002,WAYNE,26,12,3,1764,0.22144112
2002,WAYNE,11,7,3,1147,0.14398694
2002,WAYNE,11,12,3,1125,0.14122521
2002,WAYNE,21,7,1,769,0.09653527
2002,WAYNE,21,7,3,362,0.04544313
2002,WAYNE,26,7,1,97,0.01217675
2002,WAYNE,21,12,3,84,0.01054482
2002,WILKES,83,30,5,2015,0.79707278
2002,WILKES,83,45,5,513,0.20292722
2002,WILSON,23,5,3,916,0.48286769
2002,WILSON,24,5,3,416,0.21929362
2002,WILSON,24,5,1,412,0.21718503
2002,WILSON,23,5,1,153,0.08065366
2002,YADKIN,92,34,5,870,1.0
2002,YANCEY,118,47,11,2020,1.0
2004,ALAMANCE,64,24,6,12352,0.56066452
2004,ALAMANCE,63,24,6,5549,0.25187236
2004,ALAMANCE,63,24,13,4130,0.18746312
2004,ALEXANDER,88,45,5,5628,1.0
2004,ALLEGHANY,90,30,5,2056,1.0
2004,ANSON,69,25,8,3143,1.0
2004,ASHE,93,45,5,3299,1.0
2004,AVERY,84,47,10,1540,1.0
2004,BEAUFORT,6,1,3,3754,0.7184689
2004,BEAUFORT,6,1,1,1471,0.2815311
2004,BERTIE,5,4,1,2005,1.0
2004,BLADEN,22,19,7,3244,1.0
2004,BRUNSWICK,17,8,7,13789,0.91724872
2004,BRUNSWICK,20,8,7,1244,0.08275128
2004,BUNCOMBE,114,49,11,13734,0.30948464
2004,BUNCOMBE,115,49,11,12141,0.27358767
2004,BUNCOMBE,116,48,11,9046,0.20384433
2004,BUNCOMBE,116,49,11,5680,0.12799423
2004,BUNCOMBE,115,48,11,3776,0.08508912
2004,BURKE,86,44,10,8368,0.79107582
2004,BURKE,85,44,10,2210,0.20892418
2004,CABARRUS,82,36,8,7118,0.49804086
2004,CABARRUS,83,36,8,6235,0.43625805
2004,CABARRUS,82,36,12,939,0.06570109
2004,CALDWELL,87,44,10,11076,0.83934526
2004,CALDWELL,84,44,10,2120,0.16065474
2004,CAMDEN,1,1,3,1241,1.0
2004,CARTERET,13,2,3,9042,1.0
2004,CASWELL,50,24,13,2074,1.0
2004,CATAWBA,96,42,10,10238,0.45473927
2004,CATAWBA,89,42,10,7129,0.31664742
2004,CATAWBA,88,42,10,5147,0.22861331
2004,CHATHAM,54,18,2,6690,0.58012487
2004,CHATHAM,54,18,4,4842,0.41987513
2004,CHEROKEE,120,50,11,3312,1.0
2004,CHOWAN,2,4,1,1349,1.0
2004,CLAY,120,50,11,2439,1.0
2004,CLEVELAND,111,46,10,5862,0.78631791
2004,CLEVELAND,110,46,10,1184,0.15881958
2004,CLEVELAND,112,46,10,409,0.05486251
2004,COLUMBUS,20,8,7,5945,1.0
2004,CRAVEN,3,2,3,9339,0.54432593
2004,CRAVEN,12,2,1,3058,0.17823629
2004,CRAVEN,12,2,3,2924,0.17042607
2004,CRAVEN,3,2,1,1836,0.10701172
2004,CUMBERLAND,43,21,2,3942,0.15513577
2004,CUMBERLAND,44,19,8,3111,0.12243211
2004,CUMBERLAND,44,21,8,2831,0.11141283
2004,CUMBERLAND,42,21,8,2680,0.10547029
2004,CUMBERLAND,45,19,7,2297,0.09039748
2004,CUMBERLAND,42,21,2,2216,0.08720976
2004,CUMBERLAND,45,19,8,1819,0.07158599
2004,CUMBERLAND,22,19,7,1527,0.06009445
2004,CUMBERLAND,22,19,8,1465,0.05765447
2004,CUMBERLAND,45,21,7,1375,0.05411255
2004,CUMBERLAND,45,21,2,530,0.02085793
2004,CUMBERLAND,44,21,2,505,0.01987407
2004,CUMBERLAND,42,19,8,490,0.01928375
2004,CUMBERLAND,43,19,7,319,0.01255411
2004,CUMBERLAND,44,19,7,212,0.00834317
2004,CUMBERLAND,43,21,7,65,0.00255805
2004,CUMBERLAND,42,21,7,26,0.00102322
2004,CURRITUCK,1,1,3,1231,0.99676113
2004,CURRITUCK,1,,3,4,0.00323887
2004,DARE,2,1,3,4432,1.0
2004,DAVIDSON,80,33,6,5921,0.35474208
2004,DAVIDSON,81,33,12,3362,0.20142592
2004,DAVIDSON,80,33,12,2705,0.16206339
2004,DAVIDSON,81,33,6,2507,0.15020071
2004,DAVIDSON,73,33,12,2196,0.13156791
2004,DAVIE,79,34,5,4907,1.0
2004,DUPLIN,4,10,7,3858,0.79008806
2004,DUPLIN,4,10,3,1025,0.20991194
2004,DURHAM,29,18,4,9727,0.19640586
2004,DURHAM,31,20,4,9683,0.19551742
2004,DURHAM,30,20,4,9300,0.18778395
2004,DURHAM,55,20,4,7140,0.14416961
2004,DURHAM,30,18,4,5739,0.11588087
2004,DURHAM,29,20,4,4994,0.10083796
2004,DURHAM,31,18,4,2942,0.05940434
2004,EDGECOMBE,23,3,1,2629,0.53068228
2004,EDGECOMBE,24,3,1,2325,0.46931772
2004,FRANKLIN,49,7,2,4901,1.0
2004,GASTON,109,43,9,4905,0.32680392
2004,GASTON,108,43,9,3672,0.24465321
2004,GASTON,110,43,9,2806,0.18695449
2004,GASTON,108,41,9,1746,0.1163302
2004,GASTON,109,43,10,910,0.06063029
2004,GASTON,110,43,10,571,0.03804384
2004,GASTON,110,41,9,399,0.02658405
2004,GATES,5,4,1,675,1.0
2004,GRAHAM,120,50,11,1203,1.0
2004,GRANVILLE,32,7,13,3108,0.67214533
2004,GRANVILLE,32,7,1,1516,0.32785467
2004,GREENE,10,5,1,1743,1.0
2004,HALIFAX,7,4,1,2269,0.75911676
2004,HALIFAX,49,4,1,720,0.24088324
2004,HARNETT,53,22,2,6046,0.7946898
2004,HARNETT,51,22,2,1562,0.2053102
2004,HAYWOOD,118,47,11,6909,0.73900952
2004,HAYWOOD,119,47,11,1427,0.15263665
2004,HAYWOOD,118,50,11,626,0.06695903
2004,HAYWOOD,119,50,11,387,0.0413948
2004,HENDERSON,117,48,11,9203,0.76730032
2004,HENDERSON,113,48,11,2791,0.23269968
2004,HERTFORD,5,4,1,2280,1.0
2004,HOKE,48,13,8,2180,0.57323166
2004,HOKE,46,13,8,1623,0.42676834
2004,HYDE,2,1,3,226,1.0
2004,IREDELL,95,41,10,3880,0.27586207
2004,IREDELL,79,41,5,3166,0.22509776
2004,IREDELL,95,41,5,2449,0.17412016
2004,IREDELL,95,36,10,1580,0.11233558
2004,IREDELL,89,42,10,931,0.06619268
2004,IREDELL,89,42,5,673,0.04784927
2004,IREDELL,92,42,5,528,0.03753999
2004,IREDELL,89,41,5,440,0.03128333
2004,IREDELL,79,42,5,236,0.01677924
2004,IREDELL,89,41,10,182,0.01293992
2004,JACKSON,119,50,11,4922,1.0
2004,JOHNSTON,26,12,2,6425,0.60819765
2004,JOHNSTON,28,12,2,4139,0.39180235
2004,JONES,13,6,1,717,0.72791878
2004,JONES,13,6,3,268,0.27208122
2004,LEE,51,18,2,8276,1.0
2004,LENOIR,10,10,3,3642,0.48060174
2004,LENOIR,10,10,1,1745,0.23027184
2004,LENOIR,12,10,1,1512,0.19952494
2004,LENOIR,12,10,3,679,0.08960148
2004,LINCOLN,97,41,10,7455,1.0
2004,MACON,120,50,11,4693,0.75425908
2004,MACON,119,50,11,1529,0.24574092
2004,MADISON,118,47,11,2662,0.99775112
2004,MADISON,,47,11,6,0.00224888
2004,MARTIN,8,3,1,2272,1.0
2004,MCDOWELL,85,47,11,5900,1.0
2004,MITCHELL,84,47,10,2784,1.0
2004,MONTGOMERY,66,29,8,1439,0.80842697
2004,MONTGOMERY,67,29,8,341,0.19157303
2004,MOORE,52,22,6,11768,0.94903226
2004,MOORE,54,22,6,632,0.05096774
2004,NASH,25,11,3,5967,0.41706857
2004,NASH,25,11,2,4686,0.32753198
2004,NASH,7,11,1,1623,0.11344097
2004,NASH,7,11,2,1450,0.10134899
2004,NASH,25,11,1,463,0.03236178
2004,NASH,49,11,2,118,0.00824771
2004,NEW HANOVER,19,9,7,9656,0.47305507
2004,NEW HANOVER,16,9,7,7314,0.35831864
2004,NEW HANOVER,18,9,7,3442,0.1686263
2004,NORTHAMPTON,27,4,1,1740,1.0
2004,ONSLOW,14,6,3,5121,0.5694429
2004,ONSLOW,15,6,3,2742,0.30490381
2004,ONSLOW,4,6,3,1130,0.12565329
2004,ORANGE,56,23,4,18584,0.56488039
2004,ORANGE,50,23,4,9905,0.30107298
2004,ORANGE,54,23,4,4410,0.13404663
2004,PAMLICO,3,2,3,2430,1.0
2004,PASQUOTANK,1,1,1,6629,1.0
2004,PENDER,16,8,7,2285,0.52384227
2004,PENDER,18,8,7,2077,0.47615773
2004,PERQUIMANS,5,4,1,1679,1.0
2004,PERSON,55,23,13,8121,1.0
2004,PITT,9,5,3,5985,0.42881708
2004,PITT,8,3,1,2383,0.1707387
2004,PITT,6,5,3,1251,0.08963244
2004,PITT,6,3,3,1158,0.08296912
2004,PITT,9,3,3,1144,0.08196604
2004,PITT,9,3,1,879,0.06297915
2004,PITT,6,3,1,446,0.03195529
2004,PITT,8,3,3,312,0.02235437
2004,PITT,8,5,3,184,0.01318335
2004,PITT,8,5,1,126,0.00902773
2004,PITT,9,5,1,89,0.00637673
2004,POLK,113,48,11,3899,1.0
2004,RANDOLPH,78,29,6,8079,0.51765234
2004,RANDOLPH,70,29,6,7528,0.48234766
2004,RICHMOND,66,25,8,5540,0.99336561
2004,RICHMOND,,25,8,37,0.00663439
2004,ROBESON,47,13,7,2462,0.59211159
2004,ROBESON,48,13,7,936,0.22510823
2004,ROBESON,46,13,7,760,0.18278018
2004,ROCKINGHAM,65,26,13,7439,0.77594659
2004,ROCKINGHAM,91,26,13,1133,0.11818087
2004,ROCKINGHAM,91,26,5,1015,0.10587254
2004,ROWAN,77,34,12,5780,0.47118285
2004,ROWAN,76,34,6,4949,0.40344012
2004,ROWAN,77,34,6,1195,0.09741583
2004,ROWAN,76,34,12,343,0.0279612
2004,RUTHERFORD,112,46,11,4674,0.51430458
2004,RUTHERFORD,112,46,10,4414,0.48569542
2004,SAMPSON,21,10,2,3599,0.52318651
2004,SAMPSON,28,10,7,1710,0.24858264
2004,SAMPSON,21,10,7,1552,0.22561419
2004,SAMPSON,28,10,2,18,0.00261666
2004,SCOTLAND,46,25,8,2667,0.65415747
2004,SCOTLAND,48,25,8,1373,0.33676723
2004,SCOTLAND,48,25,7,37,0.0090753
2004,STANLY,67,25,8,9165,1.0
2004,STOKES,91,30,5,2625,1.0
2004,SURRY,90,30,5,5391,0.76816757
2004,SURRY,92,30,5,1627,0.23183243
2004,SWAIN,119,50,11,1406,0.97032436
2004,SWAIN,,,11,43,0.02967564
2004,TRANSYLVANIA,113,50,11,6309,1.0
2004,TYRRELL,1,1,3,227,1.0
2004,UNION,68,35,9,14938,0.65012839
2004,UNION,69,35,8,4676,0.20350786
2004,UNION,69,35,9,1908,0.08303956
2004,UNION,67,35,9,994,0.04326065
2004,UNION,67,35,8,461,0.02006354
2004,VANCE,27,7,1,2480,0.61752988
2004,VANCE,32,7,2,1156,0.28784861
2004,VANCE,32,7,1,325,0.08092629
2004,VANCE,27,7,2,55,0.01369522
2004,WARREN,27,7,1,2252,1.0
2004,WASHINGTON,2,1,1,1319,1.0
2004,WATAUGA,93,45,5,10442,1.0
2004,WAYNE,11,12,3,7017,0.32423066
2004,WAYNE,11,5,1,5566,0.2571851
2004,WAYNE,21,5,1,3263,0.15077165
2004,WAYNE,11,5,3,2691,0.12434156
2004,WAYNE,10,5,3,2209,0.10207005
2004,WAYNE,21,5,3,349,0.01612605
2004,WAYNE,21,12,1,282,0.01303022
2004,WAYNE,10,5,1,192,0.00887164
2004,WAYNE,21,12,3,73,0.00337307
2004,WILKES,94,45,5,6846,1.0
2004,WILSON,23,11,3,3493,0.33952177
2004,WILSON,24,11,3,3336,0.32426128
2004,WILSON,24,11,1,2671,0.25962286
2004,WILSON,23,11,1,788,0.07659409
2004,YADKIN,92,30,5,2852,1.0
2004,YANCEY,84,47,11,3179,0.96450243
2004,YANCEY,118,47,11,117,0.03549757
