line_year,year,chamber,contest,file,district,baseline_usable,baseline_statewide_vote_ratio,candidate_statewide_complete,production_margin_pct,staged_margin_pct,staged_minus_production_pp,production_winner,staged_winner,winner_flip,production_total_votes,staged_total_votes,staged_minus_production_votes,linked_urban_votes,linked_urban_share_of_staged_pct,direct_vtd_linked_votes,historical_plan_cell_linked_votes,historical_plan_cell_share_pct,top_linked_urban_counties,linkage_method_mix,disposition,reason,rank_score
2022,2004,state_house,governor,state_house_governor_2004.json,77,True,1.000003,True,15.49,15.49,0.0,REP,REP,False,36969,36969,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,governor,state_house_governor_2004.json,78,True,1.000003,True,13.17,13.17,0.0,REP,REP,False,33681,33681,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,governor,state_house_governor_2004.json,79,True,1.000003,True,-15.78,-15.78,0.0,DEM,DEM,False,37072,37072,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,governor,state_house_governor_2004.json,82,True,1.000003,True,1.08,1.08,0.0,REP,REP,False,25243,25243,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,governor,state_house_governor_2004.json,83,True,1.000003,True,11.84,11.84,0.0,REP,REP,False,35527,35527,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,governor,state_house_governor_2004.json,84,True,1.000003,True,-2.88,-2.88,0.0,DEM,DEM,False,21268,21268,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,governor,state_house_governor_2004.json,85,True,1.000003,True,9.35,9.35,0.0,REP,REP,False,38489,38489,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,governor,state_house_governor_2004.json,86,True,1.000003,True,4.21,4.21,0.0,REP,REP,False,32053,32053,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,governor,state_house_governor_2004.json,87,True,1.000003,True,8.16,8.16,0.0,REP,REP,False,33157,33157,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,governor,state_house_governor_2004.json,89,True,1.000003,True,10.27,10.27,0.0,REP,REP,False,27717,27717,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,governor,state_house_governor_2004.json,90,True,1.000003,True,1.85,1.85,0.0,REP,REP,False,31707,31707,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,governor,state_house_governor_2004.json,93,True,1.000003,True,-8.33,-8.33,0.0,DEM,DEM,False,38410,38410,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,governor,state_house_governor_2004.json,94,True,1.000003,True,8.28,8.28,0.0,REP,REP,False,37065,37065,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
