raw_precinct,vtd_code,raw_house,vtd_plan_house,house_equal,house_overlap,raw_senate,vtd_plan_senate,senate_equal,senate_overlap,raw_congressional,vtd_plan_congressional,congressional_equal,congressional_overlap,all_observed_chambers_equal,any_observed_chamber_overlap
043 043,43,102,102,True,True,40,40,True,True,,12,,False,True,True
044 044,44,102,102,True,True,37,37,True,True,,12,,False,True,True
045 045,45,100,100,True,True,37,37,True,True,,8,,False,True,True
046 046,46,102,102,True,True,37,37,True,True,,8,,False,True,True
047 047,47,104;106,104;106,True,True,37,37,True,True,,9,,False,True,True
048 048,48,104,104,True,True,39,39,True,True,,9,,False,True,True
049 049,49,104,104,True,True,37,37,True,True,,9,,False,True,True
050 050,50,106,106,True,True,37,37,True,True,,9,,False,True,True
051 051,51,106,106,True,True,37,37,True,True,,9,,False,True,True
052 052,52,106,106,True,True,38,38,True,True,,12,,False,True,True
053 053,53,101;107,101;107,True,True,38,38,True,True,,12,,False,True,True
054 054,54,101,101,True,True,38,38,True,True,,12,,False,True,True
055 055,55,101,101,True,True,38,38,True,True,,12,,False,True,True
056 056,56,101,101,True,True,38;40,38;40,True,True,,12,,False,True,True
057 057,57,104,104,True,True,39,39,True,True,,9,,False,True,True
058 058,58,106,106,True,True,39,39,True,True,,9,,False,True,True
059 059,59,106,106,True,True,39,39,True,True,,9,,False,True,True
060 060,60,102,102,True,True,40,40,True,True,,12,,False,True,True
061 061,61,102,102,True,True,37,37,True,True,,8,,False,True,True
062 062,62,100,100,True,True,37,37,True,True,,8,,False,True,True
063 063,63,100,100,True,True,37,37,True,True,,8,,False,True,True
064 064,64,100,100,True,True,37,37,True,True,,8,,False,True,True
065 065,65,104,104,True,True,39,39,True,True,,9,,False,True,True
066 066,66,100;104,100;104,True,True,37,37,True,True,,9,,False,True,True
067 067,67,104,104,True,True,39,39,True,True,,9,,False,True,True
068 068,68,104,104,True,True,39,39,True,True,,9,,False,True,True
069 069,69,104;105,104;105,True,True,39,39,True,True,,9,,False,True,True
070 070,70,104,104,True,True,39,39,True,True,,9,,False,True,True
071 071,71,104,104,True,True,39,39,True,True,,9,,False,True,True
072 072,72,104,104,True,True,39,39,True,True,,9,,False,True,True
073 073,73,104,104,True,True,39,39,True,True,,9,,False,True,True
074 074,74,104,104,True,True,39,39,True,True,,9,,False,True,True
075 075,75,104,104,True,True,39,39,True,True,,9,,False,True,True
076 076,76,104,104,True,True,39,39,True,True,,9,,False,True,True
077 077,77,106,106;107,False,True,38,38,True,True,,12;9,,False,False,True
078 078,78,106,106,True,True,38,38,True,True,,12,,False,True,True
079 079,79,101,101,True,True,38,38,True,True,,12,,False,True,True
080 080,80,101,101,True,True,38,38,True,True,,12,,False,True,True
081 081,81,101,101,True,True,38,38,True,True,,12,,False,True,True
082 082,82,102;99,102;99,True,True,40,40,True,True,,12,,False,True,True
083 083,83,103,103,True,True,37,37,True,True,,9,,False,True,True
084 084,84,100,100,True,True,37,37,True,True,,8,,False,True,True
085 085,85,100,100,True,True,39,39,True,True,,9,,False,True,True
086 086,86,104,104,True,True,39,39,True,True,,9,,False,True,True
087 087,87,104;105;107,105;107,False,True,39,39,True,True,,9,,False,False,True
088 088,88,105,105,True,True,39,39,True,True,,9,,False,True,True
089 089,89,101,101,True,True,38,38,True,True,,9,,False,True,True
090 090,90,105,105,True,True,39,39,True,True,,9,,False,True,True
091 091,91,105,105,True,True,39,39,True,True,,9,,False,True,True
092 092,92,104,104,True,True,39,39,True,True,,9,,False,True,True
093 093,93,104,104,True,True,39,39,True,True,,9,,False,True,True
094 094,94,103,103,True,True,37,37,True,True,,9,,False,True,True
095 095,95,100,100,True,True,37,37,True,True,,8,,False,True,True
096 096,96,100,100,True,True,39,39,True,True,,9,,False,True,True
097 097,97,106,106;107,False,True,38,38;39,False,True,,9,,False,False,True
098 098,98,106,106,True,True,38,38,True,True,,12,,False,True,True
099 099,99,100,100,True,True,37,37,True,True,,9,,False,True,True
100 100,100,105,105,True,True,39,39,True,True,,9,,False,True,True
101 101,101,104,104,True,True,39,39,True,True,,9,,False,True,True
102 102,102,103,103,True,True,37,37,True,True,,9,,False,True,True
103 103,103,105,105,True,True,39,39,True,True,,9,,False,True,True
104 104,104,99,99,True,True,40,40,True,True,,12,,False,True,True
105 105,105,99,99,True,True,40,40,True,True,,12,,False,True,True
106 106,106,100;104,100;104,True,True,39,39,True,True,,9,,False,True,True
107 107,107,99,99,True,True,40,40,True,True,,12,,False,True,True
108 108,108,100,100,True,True,37,37,True,True,,8,,False,True,True
109 109,109,102,102,True,True,37,37,True,True,,8,,False,True,True
110 110,110,104,104,True,True,39,39,True,True,,9,,False,True,True
111 111,111,104,104,True,True,39,39,True,True,,9,,False,True,True
112 112,112,105,105,True,True,39,39,True,True,,9,,False,True,True
113 113,113,105,105,True,True,39,39,True,True,,9,,False,True,True
114 114,114,104,104,True,True,39,39,True,True,,9,,False,True,True
115 115,115,103,103,True,True,37,37,True,True,,9,,False,True,True
116 116,116,103,103,True,True,37,37,True,True,,9,,False,True,True
117 117,117,100,100,True,True,37,37,True,True,,8,,False,True,True
118 118,118,105,105,True,True,39,39,True,True,,9,,False,True,True
119 119,119,104,104,True,True,39,39,True,True,,9,,False,True,True
120 120,120,106,106,True,True,38,38,True,True,,9,,False,True,True
121 121,121,105,105,True,True,39,39,True,True,,9,,False,True,True
122 122,122,107,107,True,True,38,38,True,True,,9,,False,True,True
123 123,123,99,99,True,True,37,37,True,True,,8,,False,True,True
124 124,124,100,100,True,True,37,37,True,True,,8,,False,True,True
125 125,125,100,100,True,True,37,37,True,True,,9,,False,True,True
126 126,126,99,99,True,True,40,40,True,True,,12,,False,True,True
127 127,127,98,98,True,True,40,40,True,True,,12,,False,True,True
128 128,128,98,98,True,True,40,40,True,True,,9,,False,True,True
129 129,129,104;107,104;107,True,True,39,39,True,True,,9,,False,True,True
130 130,130,100,100,True,True,37,37,True,True,,8,,False,True,True
131 131,131,105,105,True,True,39,39,True,True,,9,,False,True,True
132 132,132,102;99,102;99,True,True,40,40,True,True,,12,,False,True,True
133 133,133,98,98,True,True,40,40,True,True,,9,,False,True,True
134 134,134,98;99,98;99,True,True,38,38,True,True,,9,,False,True,True
135 135,135,101;99,101;99,True,True,40,40,True,True,,12,,False,True,True
136 136,136,103,103,True,True,39,39,True,True,,9,,False,True,True
137 137,137,105,105,True,True,39,39,True,True,,9,,False,True,True
138 138,138,106,106;107,False,True,38,38,True,True,,12,,False,False,True
139 139,139,105,105,True,True,39,39,True,True,,9,,False,True,True
140 140,140,105,105,True,True,39,39,True,True,,9,,False,True,True
141 141,141,99,99,True,True,40,40,True,True,,8,,False,True,True
142 142,142,98,98,True,True,40,40,True,True,,9,,False,True,True
143 143,143,98,98,True,True,40,40,True,True,,9,,False,True,True
144 144,144,105,105,True,True,39,39,True,True,,9,,False,True,True
200 200,200,101;107,101;107,True,True,38,38,True,True,,12;9,,False,True,True
201 201,201,103,103,True,True,35,35,True,True,,9,,False,True,True
202 202,202,98,98,True,True,40,40,True,True,,9,,False,True,True
203 203,203,103,103,True,True,37,37,True,True,,9,,False,True,True
204 204,204,99,99,True,True,40,40,True,True,,8,,False,True,True
205 205,205,99,99,True,True,37,37,True,True,,8,,False,True,True
206 206,206,98,98,True,True,40,40,True,True,,12,,False,True,True
207 207,207,98;99,98;99,True,True,40,40,True,True,,9,,False,True,True
208 208,208,98,98,True,True,40,40,True,True,,9,,False,True,True
209 209,209,98;99,98;99,True,True,38,38,True,True,,9,,False,True,True
210 210,210,101,101,True,True,38,38,True,True,,12,,False,True,True
211 211,211,101;98;99,101;98;99,True,True,38;40,38;40,True,True,,12,,False,True,True
212 212,212,99,99,True,True,40,40,True,True,,12,,False,True,True
213 213,213,101,101,True,True,40,40,True,True,,12,,False,True,True
214 214,214,98,98,True,True,40,40,True,True,,9,,False,True,True
215 215,215,103,103,True,True,39,39,True,True,,9,,False,True,True
216 216,216,103,103,True,True,35,35,True,True,,9,,False,True,True
217 217,217,100;103,100;103,True,True,39,39,True,True,,9,,False,True,True
218 218,218,103,103,True,True,35,35,True,True,,9,,False,True,True
219 219,219,103,103,True,True,35,35,True,True,,9,,False,True,True
220 220,220,103,103,True,True,35,35,True,True,,9,,False,True,True
221 221,221,103,103,True,True,35,35,True,True,,9,,False,True,True
222 222,222,101,101,True,True,38,38,True,True,,9,,False,True,True
223 223,223,101;98,101;98,True,True,38,38,True,True,,9,,False,True,True
224 224,224,101,101,True,True,38,38,True,True,,9,,False,True,True
225 225,225,107,107,True,True,39,38;39,False,True,,9,,False,False,True
226 226,226,105,105,True,True,39,39,True,True,,9,,False,True,True
227 227,227,105,105,True,True,39,39,True,True,,9,,False,True,True
228 228,228,107,106;107,False,True,38,38,True,True,,12,,False,False,True
229 229,229,107,107,True,True,38,38,True,True,,9,,False,True,True
230 230,230,107,107,True,True,38,38,True,True,,9,,False,True,True
231 231,231,105;107,105;107,True,True,39,39,True,True,,9,,False,True,True
232 232,232,105,105,True,True,39,39,True,True,,9,,False,True,True
233 233,233,103,103,True,True,39,39,True,True,,9,,False,True,True
234 234,234,103,103,True,True,35,35,True,True,,9,,False,True,True
235 235,235,103,103,True,True,35,35,True,True,,9,,False,True,True
236 236,236,103,103,True,True,35,35,True,True,,9,,False,True,True
237 237,237,99,99,True,True,40,40,True,True,,8,,False,True,True
238 238,238,98,98,True,True,40,40,True,True,,9,,False,True,True
239 239,239,98,98,True,True,40,40,True,True,,12,,False,True,True
240 240,240,98,98,True,True,40,40,True,True,,9,,False,True,True
241 241,241,98;99,98;99,True,True,40,40,True,True,,9,,False,True,True
242 242,242,98,98,True,True,40,40,True,True,,9,,False,True,True
243 243,243,107,107,True,True,38,38,True,True,,9,,False,True,True
